figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,12,8690244,0.9812666666666666,12.2876,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,13,8229426,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,13,8229426,0.9128666666666667,2.9346,prediction_set_size,standard_reference,0.9967810718013758
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,13,8229426,0.9727333333333333,9.436066666666667,prediction_set_size,spi_fast_form,0.9999717881551338
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,13,8229426,0.9388,5.262133333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,14,348525,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,14,348525,0.9087333333333333,2.9928,prediction_set_size,standard_reference,0.9969370431787703
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,14,348525,0.9658,8.4348,prediction_set_size,spi_fast_form,0.9999504601632341
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,14,348525,0.9654666666666667,8.355466666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,15,8277021,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,15,8277021,0.9078,2.6661333333333332,prediction_set_size,standard_reference,0.9955165195538215
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,15,8277021,0.9528,6.427,prediction_set_size,spi_fast_form,0.9998411948053925
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,15,8277021,0.8909333333333334,2.2226666666666666,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,16,3118312,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,16,3118312,0.8901333333333333,2.2904666666666667,prediction_set_size,standard_reference,0.9919711953789698
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,16,3118312,0.9786,11.127533333333334,prediction_set_size,spi_fast_form,0.9999883097661856
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,16,3118312,0.9724,9.673066666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,17,4091990,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,17,4091990,0.9114,2.8152,prediction_set_size,standard_reference,0.9965066985660128
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,17,4091990,0.9582666666666667,6.769933333333333,prediction_set_size,spi_fast_form,0.9998785362208537
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,17,4091990,0.9266,3.9696,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,18,2569919,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,18,2569919,0.8990666666666667,2.6727333333333334,prediction_set_size,standard_reference,0.9955417806816632
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,18,2569919,0.9856666666666667,13.998,prediction_set_size,spi_fast_form,0.9999973280780777
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,18,2569919,0.9835333333333334,13.3018,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,19,5495936,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,19,5495936,0.9026666666666666,2.686733333333333,prediction_set_size,standard_reference,0.9956371169273885
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,19,5495936,0.9952666666666666,26.0394,prediction_set_size,spi_fast_form,0.9999991035978442
