figure,dataset,age_group,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,13,8229426,0.92,5.208580347804527,interval_width,spi_fast_form,1.2615306377410889
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,13,8229426,0.73,2.747966956186232,interval_width,rsa_cp_barycentric_ot_betabin,0.031223941931941075
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,14,348525,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,14,348525,0.97,5.286085470403777,interval_width,standard_reference,1.2399649620056152
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,14,348525,0.97,5.2991877634183036,interval_width,spi_fast_form,1.2465161085128784
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,14,348525,0.935,4.669834580455281,interval_width,rsa_cp_barycentric_ot_betabin,0.9318395170313665
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,15,8277021,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,15,8277021,0.935,4.977230530506058,interval_width,standard_reference,1.144543170928955
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,15,8277021,0.935,4.998054962879105,interval_width,spi_fast_form,1.1549553871154785
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,15,8277021,0.895,4.525057171182094,interval_width,rsa_cp_barycentric_ot_betabin,0.9184564912669729
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,16,3118312,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,16,3118312,0.96,5.2145493391103805,interval_width,standard_reference,1.1880838871002197
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,16,3118312,0.965,5.254704749876982,interval_width,spi_fast_form,1.2081615924835205
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,16,3118312,0.915,4.150252419295892,interval_width,rsa_cp_barycentric_ot_betabin,0.6559354271929749
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,17,4091990,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,17,4091990,0.975,5.141856589585368,interval_width,standard_reference,1.2399649620056152
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,17,4091990,0.98,5.484346785813395,interval_width,spi_fast_form,1.411210060119629
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,17,4091990,0.98,5.48390663678658,interval_width,rsa_cp_barycentric_ot_betabin,1.4109899856062216
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,18,2569919,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,18,2569919,0.965,5.005192690059484,interval_width,standard_reference,1.1112890243530273
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,18,2569919,0.965,5.053012304469885,interval_width,spi_fast_form,1.1351988315582275
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,18,2569919,0.955,4.7554023511323225,interval_width,rsa_cp_barycentric_ot_betabin,0.9863938548894471
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,19,5495936,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,19,5495936,0.975,5.150779173308693,interval_width,standard_reference,1.2157933712005615
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,19,5495936,0.975,5.161618158751808,interval_width,spi_fast_form,1.2212128639221191
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,19,5495936,0.935,4.5672594940043325,interval_width,rsa_cp_barycentric_ot_betabin,0.9240335315483812
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,0,2492284,0.78,3.3745042133831884,interval_width,standard_real,0.4943079948425293
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,0,2492284,0.905,4.48447049145936,interval_width,standard_reference,1.0492911338806152
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,0,2492284,0.905,4.488751773884287,interval_width,spi_fast_form,1.0514317750930786
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,0,2492284,0.755,3.3010313464884904,interval_width,rsa_cp_barycentric_ot_betabin,0.45757156139518007
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,1,6438288,0.95,5.401416827253997,interval_width,standard_real,1.5014159679412842
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,1,6438288,0.88,4.463636447004974,interval_width,standard_reference,1.0325257778167725
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,1,6438288,0.88,4.464440394453704,interval_width,spi_fast_form,1.0329277515411377
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,1,6438288,0.83,3.528807734264592,interval_width,rsa_cp_barycentric_ot_betabin,0.5651114214465819
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,2,275592,0.88,4.257539992290549,interval_width,standard_real,0.9240827560424805
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,2,275592,0.92,4.592007880168967,interval_width,standard_reference,1.0913166999816895
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,2,275592,0.92,4.606821303325705,interval_width,spi_fast_form,1.0987234115600586
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,2,275592,0.68,2.5067736515929817,interval_width,rsa_cp_barycentric_ot_betabin,0.04869958569369666
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,3,2731692,0.715,3.1011551779601723,interval_width,standard_real,0.3578455448150635
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,3,2731692,0.89,4.4883276385162025,interval_width,standard_reference,1.0514317750930786
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,3,2731692,0.89,4.4982623022887855,interval_width,spi_fast_form,1.0563991069793701
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,3,2731692,0.595,2.3854640883300453,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,4,1441594,1.0,8.05150159903802,interval_width,standard_real,2.8203256130218506
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,4,1441594,0.89,4.465823498452083,interval_width,standard_reference,1.0274865627288818
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,4,1441594,0.89,4.476196613991633,interval_width,spi_fast_form,1.0326731204986572
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,4,1441594,0.985,6.769189487096667,interval_width,rsa_cp_barycentric_ot_betabin,2.179169557051173
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,5,7551662,0.905,4.42986105926102,interval_width,standard_real,1.0358307361602783
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,5,7551662,0.94,4.685423364711459,interval_width,standard_reference,1.163611888885498
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,5,7551662,0.94,4.700590601039584,interval_width,spi_fast_form,1.1711955070495605
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,5,7551662,0.825,3.5352789347710907,interval_width,rsa_cp_barycentric_ot_betabin,0.5885396739153128
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,6,4731878,0.98,6.235947146200342,interval_width,standard_real,1.9409525394439697
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,6,4731878,0.93,4.589990629934473,interval_width,standard_reference,1.1179742813110352
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,6,4731878,0.93,4.59438325383584,interval_width,spi_fast_form,1.1201705932617188
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,6,4731878,0.9,4.2854469126964565,interval_width,rsa_cp_barycentric_ot_betabin,0.9657024226920273
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,7,9486483,0.87,4.132139715206576,interval_width,standard_real,0.9330151081085205
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,7,9486483,0.89,4.421227964413119,interval_width,standard_reference,1.077559232711792
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,7,9486483,0.89,4.442516359341098,interval_width,spi_fast_form,1.0882034301757812
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,7,9486483,0.845,3.9177507669842693,interval_width,rsa_cp_barycentric_ot_betabin,0.8258206339973667
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,8,857393,0.835,3.8504414218699092,interval_width,standard_real,0.7438454627990723
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,8,857393,0.91,4.516855205897009,interval_width,standard_reference,1.077052354812622
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,8,857393,0.91,4.528553928736365,interval_width,spi_fast_form,1.0829017162322998
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,8,857393,0.71,2.8454716691455597,interval_width,rsa_cp_barycentric_ot_betabin,0.24136058643689795
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,9,4233261,0.96,6.336618943409994,interval_width,standard_real,1.9775843620300293
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,9,4233261,0.895,4.617398781972006,interval_width,standard_reference,1.1179742813110352
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,9,4233261,0.895,4.625975175099447,interval_width,spi_fast_form,1.1222624778747559
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,9,4233261,0.9,4.745218515773884,interval_width,rsa_cp_barycentric_ot_betabin,1.1818841482119744
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,10,9504621,0.995,8.046107492413139,interval_width,standard_real,2.7553635835647583
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,10,9504621,0.875,4.665591201748466,interval_width,standard_reference,1.0651054382324219
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,10,9504621,0.875,4.674622974361991,interval_width,spi_fast_form,1.0696213245391846
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,10,9504621,0.795,3.564389182246056,interval_width,rsa_cp_barycentric_ot_betabin,0.5145044284812162
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,11,5118207,0.99,6.163726300242124,interval_width,standard_real,1.877281904220581
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,11,5118207,0.955,4.6649527254130225,interval_width,standard_reference,1.1278951168060303
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,11,5118207,0.955,4.670436829569517,interval_width,spi_fast_form,1.1306371688842773
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,11,5118207,0.845,3.573715832390229,interval_width,rsa_cp_barycentric_ot_betabin,0.582276670294634
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,12,8690244,0.915,4.905091185178608,interval_width,standard_real,1.2575693130493164
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,12,8690244,0.9,4.678198952283711,interval_width,standard_reference,1.1441231966018677
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,12,8690244,0.9,4.698328871335835,interval_width,spi_fast_form,1.1541881561279297
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,12,8690244,0.86,4.0768233145978074,interval_width,rsa_cp_barycentric_ot_betabin,0.8434353777589165
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,13,8229426,0.75,3.0035990536923056,interval_width,standard_real,0.3134235143661499
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,13,8229426,0.89,4.612700587582076,interval_width,standard_reference,1.1179742813110352
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,13,8229426,0.89,4.621276980709517,interval_width,spi_fast_form,1.1222624778747559
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,13,8229426,0.735,2.7229659809145734,interval_width,rsa_cp_barycentric_ot_betabin,0.17310697797728336
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,14,348525,0.95,4.963878800183302,interval_width,standard_real,1.2575693130493164
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,14,348525,0.95,4.716897179394728,interval_width,standard_reference,1.1340785026550293
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,14,348525,0.95,4.78836600950337,interval_width,spi_fast_form,1.1698129177093506
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,14,348525,0.92,4.386566279716791,interval_width,rsa_cp_barycentric_ot_betabin,0.968913052816061
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,15,8277021,0.905,4.802493373701582,interval_width,standard_real,1.2255854606628418
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,15,8277021,0.855,4.497306625196943,interval_width,standard_reference,1.0729920864105225
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,15,8277021,0.855,4.500792304823408,interval_width,spi_fast_form,1.0747349262237549
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,15,8277021,0.79,4.02385926744002,interval_width,rsa_cp_barycentric_ot_betabin,0.8362684075320619
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,16,3118312,0.94,4.846735352699179,interval_width,standard_real,1.2016515731811523
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,16,3118312,0.93,4.573643082801718,interval_width,standard_reference,1.0651054382324219
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,16,3118312,0.93,4.579926842872519,interval_width,spi_fast_form,1.0682473182678223
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,16,3118312,0.925,4.455657640744512,interval_width,rsa_cp_barycentric_ot_betabin,1.0061127172038182
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,17,4091990,0.995,6.032827356477501,interval_width,standard_real,1.8495888710021973
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,17,4091990,0.935,4.660873392244103,interval_width,standard_reference,1.163611888885498
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,17,4091990,0.935,4.66243169607711,interval_width,spi_fast_form,1.164391040802002
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,17,4091990,0.97,5.298464857690282,interval_width,rsa_cp_barycentric_ot_betabin,1.4824076216085884
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,18,2569919,0.97,5.606207890601363,interval_width,standard_real,1.6005897521972656
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,18,2569919,0.925,4.403017563910689,interval_width,standard_reference,0.9989945888519287
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,18,2569919,0.925,4.409322304816451,interval_width,spi_fast_form,1.0021469593048096
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,18,2569919,0.905,4.1669432849222,interval_width,rsa_cp_barycentric_ot_betabin,0.8809574493576847
Figure 9,MEPS,60-100,SCP,0.1,0.9,15,1000,200,19,5495936,0.99,6.71915491411346,interval_width,standard_real,2.1765174865722656
Figure 9,MEPS,60-100,Synthetic-only,0.1,0.9,15,1000,200,19,5495936,0.93,4.512104113789974,interval_width,standard_reference,1.0729920864105225
Figure 9,MEPS,60-100,SPI,0.1,0.9,15,1000,200,19,5495936,0.93,4.542316039296566,interval_width,spi_fast_form,1.0880980491638184
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,19,5495936,0.78,3.252427668212619,interval_width,rsa_cp_barycentric_ot_betabin,0.44315386362184545
