figure,dataset,age_group,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,7,9486483,0.895,2.46260389719042,interval_width,standard_real,0.20022404193878174
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,7,9486483,0.91,2.567746490574209,interval_width,standard_reference,0.25279533863067627
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,7,9486483,0.91,2.5699258748057763,interval_width,spi_fast_form,0.25388503074645996
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,7,9486483,0.815,2.06521731361722,interval_width,rsa_cp_barycentric_ot_betabin,0.0015307501521819257
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,8,857393,1.0,4.369682090521092,interval_width,standard_real,1.0837790966033936
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,8,857393,0.945,2.7740285565855447,interval_width,standard_reference,0.2859523296356201
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,8,857393,0.945,2.7762046029570047,interval_width,spi_fast_form,0.2870403528213501
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,8,857393,0.95,2.9649647446356857,interval_width,rsa_cp_barycentric_ot_betabin,0.3814204236606904
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,9,4233261,1.0,6.3632147624064235,interval_width,standard_real,2.0503101348876953
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,9,4233261,0.88,2.819483788209036,interval_width,standard_reference,0.27844464778900146
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,9,4233261,0.88,2.820822031693533,interval_width,spi_fast_form,0.27911376953125
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,9,4233261,0.95,3.9119025354587005,interval_width,rsa_cp_barycentric_ot_betabin,0.8246540214138333
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,10,9504621,0.97,3.930160472369753,interval_width,standard_real,0.8693203926086426
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,10,9504621,0.9,2.5071432089572774,interval_width,standard_reference,0.15781176090240479
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,10,9504621,0.9,2.513661334491335,interval_width,spi_fast_form,0.1610708236694336
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,10,9504621,0.965,3.7988113495998705,interval_width,rsa_cp_barycentric_ot_betabin,0.8036458312237018
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,11,5118207,0.865,2.228710540771717,interval_width,standard_real,0.058440160006284714
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,11,5118207,0.91,2.5812153678538743,interval_width,standard_reference,0.23469257354736328
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,11,5118207,0.91,2.5841317039134446,interval_width,spi_fast_form,0.23615074157714844
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,11,5118207,0.865,2.2146300965635852,interval_width,rsa_cp_barycentric_ot_betabin,0.05139993790221896
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,12,8690244,0.975,4.292972395723918,interval_width,standard_real,1.0640331506729126
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,12,8690244,0.88,2.7663472393213304,interval_width,standard_reference,0.30072057247161865
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,12,8690244,0.895,2.9623459079919847,interval_width,spi_fast_form,0.3987199068069458
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,12,8690244,0.935,3.373917460564676,interval_width,rsa_cp_barycentric_ot_betabin,0.6045056830932913
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,13,8229426,0.915,2.7995531333517283,interval_width,standard_real,0.32510459423065186
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,13,8229426,0.905,2.6352534068655222,interval_width,standard_reference,0.24295473098754883
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,13,8229426,0.91,2.6571140063833445,interval_width,spi_fast_form,0.25388503074645996
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,13,8229426,0.815,2.1545493559467723,interval_width,rsa_cp_barycentric_ot_betabin,0.002602705528173811
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,14,348525,0.925,2.8688076556916347,interval_width,standard_real,0.32548773288726807
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,14,348525,0.9,2.600913626074325,interval_width,standard_reference,0.19154071807861328
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,14,348525,0.9,2.6051419795746913,interval_width,spi_fast_form,0.1936548948287964
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,14,348525,0.895,2.5781609054404777,interval_width,rsa_cp_barycentric_ot_betabin,0.18016435776168907
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,15,8277021,0.9,2.829358749319799,interval_width,standard_real,0.2916851043701172
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,15,8277021,0.885,2.6859812068240716,interval_width,standard_reference,0.21999633312225342
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,15,8277021,0.885,2.6859812068240716,interval_width,spi_fast_form,0.21999633312225342
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,15,8277021,0.875,2.6474068006872757,interval_width,rsa_cp_barycentric_ot_betabin,0.20070913005385502
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,16,3118312,0.95,3.468380972216837,interval_width,standard_real,0.6701663732528687
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,16,3118312,0.87,2.3952012503845617,interval_width,standard_reference,0.13357651233673096
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,16,3118312,0.87,2.4022717917663976,interval_width,spi_fast_form,0.13711178302764893
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,16,3118312,0.88,2.514529831877304,interval_width,rsa_cp_barycentric_ot_betabin,0.193240803083102
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,17,4091990,0.855,2.5314974670123775,interval_width,standard_real,0.048914432525634766
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,17,4091990,0.885,2.867032516450854,interval_width,standard_reference,0.21668195724487305
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,17,4091990,0.885,2.877100217790576,interval_width,spi_fast_form,0.2217158079147339
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,17,4091990,0.805,2.433668601961108,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,18,2569919,0.935,2.844698399171466,interval_width,standard_real,0.3225489854812622
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,18,2569919,0.925,2.59800383435213,interval_width,standard_reference,0.19920170307159424
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,18,2569919,0.925,2.598454445466632,interval_width,spi_fast_form,0.19942700862884521
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,18,2569919,0.93,2.7001557279724318,interval_width,rsa_cp_barycentric_ot_betabin,0.25027764988174483
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,19,5495936,0.9,2.8379026698938103,interval_width,standard_real,0.352816104888916
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,19,5495936,0.875,2.606100206362316,interval_width,standard_reference,0.23691487312316895
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,19,5495936,0.875,2.6130381870141717,interval_width,spi_fast_form,0.24038386344909668
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,19,5495936,0.9,2.8089738974411693,interval_width,rsa_cp_barycentric_ot_betabin,0.33835171866259545
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,0,2492284,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,0,2492284,0.94,3.3243342226161623,interval_width,standard_reference,0.3604581356048584
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,0,2492284,0.94,3.3533449953212404,interval_width,spi_fast_form,0.37496352195739746
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,0,2492284,0.91,2.6034179514064455,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,1,6438288,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,1,6438288,0.94,3.1319215590704697,interval_width,standard_reference,0.1977062225341797
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,1,6438288,0.94,3.134234457706334,interval_width,spi_fast_form,0.19886267185211182
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,1,6438288,0.94,3.0308943091620995,interval_width,rsa_cp_barycentric_ot_betabin,0.1471925975799942
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,2,275592,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,2,275592,0.975,3.207747387908748,interval_width,standard_reference,0.1543436050415039
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,2,275592,0.975,3.3061959028471026,interval_width,spi_fast_form,0.20356786251068115
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,2,275592,0.965,2.8990601778257403,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,3,2731692,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,3,2731692,0.96,2.997572304221394,interval_width,standard_reference,0.22478199005126953
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,3,2731692,0.96,3.0221041454994704,interval_width,spi_fast_form,0.23704791069030762
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,3,2731692,0.945,2.548008324118855,interval_width,rsa_cp_barycentric_ot_betabin,0.0
