figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,5,7551662,1.0,30.0,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,6,4731878,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,6,4731878,0.8992666666666667,2.6082666666666667,prediction_set_size,standard_reference,0.995037624477832
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,6,4731878,0.9406666666666667,5.5022,prediction_set_size,spi_fast_form,0.999701744919819
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,6,4731878,0.9273333333333333,4.3226,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,7,9486483,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,7,9486483,0.919,3.473866666666667,prediction_set_size,standard_reference,0.9983159405051268
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,7,9486483,0.9513333333333334,6.2956666666666665,prediction_set_size,spi_fast_form,0.9998288541844006
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,7,9486483,1.0,30.0,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,8,857393,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,8,857393,0.8981333333333333,2.5194,prediction_set_size,standard_reference,0.9944055792034848
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,8,857393,0.8981333333333333,2.522466666666667,prediction_set_size,spi_fast_form,0.9944306018816217
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,8,857393,0.873,2.0414666666666665,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,9,4233261,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,9,4233261,0.9140666666666667,3.3208,prediction_set_size,standard_reference,0.9979445797650882
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,9,4233261,0.9676666666666667,8.8036,prediction_set_size,spi_fast_form,0.9999600558557984
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,9,4233261,1.0,30.0,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,10,9504621,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,10,9504621,0.8897333333333334,2.3315333333333332,prediction_set_size,standard_reference,0.9923974404375736
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,10,9504621,0.9732,9.804666666666666,prediction_set_size,spi_fast_form,0.9999768621010648
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,10,9504621,0.9526,6.4932,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,11,5118207,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,11,5118207,0.9054666666666666,2.695666666666667,prediction_set_size,standard_reference,0.9957012117776186
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,11,5118207,0.9976,27.5088,prediction_set_size,spi_fast_form,0.9999992845033506
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,11,5118207,0.9807333333333333,11.821133333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,12,8690244,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,12,8690244,0.904,2.737,prediction_set_size,standard_reference,0.99589207372988
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,12,8690244,0.9812666666666666,12.326133333333333,prediction_set_size,spi_fast_form,0.9999936148103509
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,12,8690244,0.9812666666666666,12.314666666666668,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,13,8229426,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,13,8229426,0.8756666666666667,2.01,prediction_set_size,standard_reference,0.9870056350465591
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,13,8229426,0.9727333333333333,9.436066666666667,prediction_set_size,spi_fast_form,0.9999717881551338
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,13,8229426,0.9336666666666666,4.836866666666666,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,14,348525,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,14,348525,0.9156,3.412,prediction_set_size,standard_reference,0.9981183670456525
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,14,348525,0.9658,8.4348,prediction_set_size,spi_fast_form,0.9999504601632341
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,14,348525,0.9658,8.4042,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,15,8277021,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,15,8277021,0.9265333333333333,3.9117333333333333,prediction_set_size,standard_reference,0.9989108570716483
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,15,8277021,0.9528,6.427,prediction_set_size,spi_fast_form,0.9998411948053925
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,15,8277021,0.945,5.7258,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,16,3118312,1.0,30.0,prediction_set_size,standard_real,1.0
