figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,7,9486483,0.9494666666666667,6.1114,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,8,857393,0.8734,2.0472,prediction_set_size,standard_real,0.9876936511299216
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,8,857393,0.8363333333333334,1.6602666666666666,prediction_set_size,standard_reference,0.9734714832364928
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,8,857393,0.8364666666666667,1.6619333333333333,prediction_set_size,spi_fast_form,0.9735700849955434
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,8,857393,0.8646,1.9310666666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,9,4233261,0.9676666666666667,8.8036,prediction_set_size,standard_real,0.9999600558557984
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,9,4233261,0.8482666666666666,1.7508666666666666,prediction_set_size,standard_reference,0.9776815367955303
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,9,4233261,0.8494,1.7597333333333334,prediction_set_size,spi_fast_form,0.97807193492936
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,9,4233261,0.7670666666666667,1.2612,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,10,9504621,0.9732,9.804666666666666,prediction_set_size,standard_real,0.9999768621010648
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,10,9504621,0.8378666666666666,1.6392,prediction_set_size,standard_reference,0.9719054569149241
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,10,9504621,0.8446,1.6962,prediction_set_size,spi_fast_form,0.9753211542643309
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,10,9504621,0.9202,3.6806,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,11,5118207,0.9976,27.5088,prediction_set_size,standard_real,0.9999992845033506
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,11,5118207,0.8114666666666667,1.4454,prediction_set_size,standard_reference,0.9566365135078297
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,11,5118207,0.9048666666666667,2.6703333333333332,prediction_set_size,spi_fast_form,0.9955529128751031
