"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"SCP",0.957,6.68959675270615,0,"Student-t",88,250,250
"RSA-CP (OT) (Ours)",0.952,6.44520157826486,0,"Student-t",88,250,250
"SPI",0.9835,8.83280483544862,0,"Student-t",88,250,250
"Synthetic-only",0.978,8.25444933659299,0,"Student-t",88,250,250
"SCP",0.957,6.68959675270615,0,"Student-t",88,500,500
"RSA-CP (OT) (Ours)",0.951,6.32318916777601,0.0199999999999996,"Student-t",88,500,500
"SPI",0.9965,14.5945168882711,0,"Student-t",88,500,500
"Synthetic-only",0.9965,14.8720799650549,0,"Student-t",88,500,500
"SCP",0.957,6.68959675270615,0,"Student-t",88,1000,1000
"RSA-CP (OT) (Ours)",0.947,6.13801670062234,0,"Student-t",88,1000,1000
"SPI",0.995,13.0292516634881,0.0100000000000016,"Student-t",88,1000,1000
"Synthetic-only",0.995,13.0157857624843,0,"Student-t",88,1000,1000
"SCP",0.957,6.68959675270615,0,"Student-t",88,2000,2000
"RSA-CP (OT) (Ours)",0.9495,6.29540174422804,0,"Student-t",88,2000,2000
"SPI",0.993,11.4651880381597,0.0300000000000011,"Student-t",88,2000,2000
"Synthetic-only",0.993,11.435142987504,0,"Student-t",88,2000,2000
"SCP",0.957,6.68959675270615,0,"Student-t",88,3000,3000
"RSA-CP (OT) (Ours)",0.947,6.23244772678576,0.0199999999999996,"Student-t",88,3000,3000
"SPI",0.9935,11.5757294800013,0.0399999999999991,"Student-t",88,3000,3000
"Synthetic-only",0.9935,11.5708336596442,0,"Student-t",88,3000,3000
"SCP",0.981,13.0052423113149,0,"LogNormal",89,50,50
"RSA-CP (OT) (Ours)",0.981,12.9847099384915,0,"LogNormal",89,50,50
"SPI",0.9375,8.40819084691505,0.0199999999999996,"LogNormal",89,50,50
"Synthetic-only",0.9065,7.37362182481719,0.0199999999999996,"LogNormal",89,50,50
"SCP",0.981,13.0052423113149,0,"LogNormal",89,100,100
"RSA-CP (OT) (Ours)",0.978,12.1862973532768,0,"LogNormal",89,100,100
"SPI",0.975,11.7862573879456,0,"LogNormal",89,100,100
"Synthetic-only",0.941,8.53293512884266,0,"LogNormal",89,100,100
"SCP",0.981,13.0052423113149,0,"LogNormal",89,250,250
"RSA-CP (OT) (Ours)",0.975,11.8081019181752,0,"LogNormal",89,250,250
"SPI",0.996,19.6568942084552,0.0100000000000016,"LogNormal",89,250,250
"Synthetic-only",0.996,19.5743056874816,0.0100000000000016,"LogNormal",89,250,250
"SCP",0.981,13.0052423113149,0,"LogNormal",89,500,500
"RSA-CP (OT) (Ours)",0.96,9.72510270735926,0,"LogNormal",89,500,500
"SPI",0.968,10.9222981194189,0.0199999999999996,"LogNormal",89,500,500
"Synthetic-only",0.9615,9.9222809948012,0,"LogNormal",89,500,500
"SCP",0.981,13.0052423113149,0,"LogNormal",89,1000,1000
"RSA-CP (OT) (Ours)",0.963,10.1009520873538,0,"LogNormal",89,1000,1000
"SPI",0.959,9.50432697722525,0.0199999999999996,"LogNormal",89,1000,1000
"Synthetic-only",0.957,9.41361959719176,0,"LogNormal",89,1000,1000
"SCP",0.981,13.0052423113149,0,"LogNormal",89,2000,2000
"RSA-CP (OT) (Ours)",0.9625,9.98334631691812,0,"LogNormal",89,2000,2000
"SPI",0.994,17.2775750789195,0.0399999999999991,"LogNormal",89,2000,2000
"Synthetic-only",0.994,17.2623157522348,0.0100000000000016,"LogNormal",89,2000,2000
"SCP",0.981,13.0052423113149,0,"LogNormal",89,3000,3000
"RSA-CP (OT) (Ours)",0.963,10.0311135241761,0,"LogNormal",89,3000,3000
"SPI",0.959,9.49459751502619,0.0500000000000007,"LogNormal",89,3000,3000
"Synthetic-only",0.955,9.29132594379805,0,"LogNormal",89,3000,3000
"SCP",0.956,6.66224685013563,0,"Student-t",89,50,50
"RSA-CP (OT) (Ours)",0.956,6.65951058455345,0,"Student-t",89,50,50
"SPI",0.999,19.2778010647328,0.0100000000000016,"Student-t",89,50,50
"Synthetic-only",0.999,17.2182508829077,0,"Student-t",89,50,50
"SCP",0.956,6.66224685013563,0,"Student-t",89,100,100
"RSA-CP (OT) (Ours)",0.9315,5.68275515294125,0,"Student-t",89,100,100
"SPI",0.984,8.98983317957539,0,"Student-t",89,100,100
"Synthetic-only",0.997,15.1882562727298,0,"Student-t",89,100,100
"SCP",0.956,6.66224685013563,0,"Student-t",89,250,250
"RSA-CP (OT) (Ours)",0.9315,5.68275515294125,0,"Student-t",89,250,250
"SPI",0.984,8.98983317957539,0.0199999999999996,"Student-t",89,250,250
"Synthetic-only",0.995,13.2428648746162,0,"Student-t",89,250,250
"SCP",0.956,6.66224685013563,0,"Student-t",89,500,500
"RSA-CP (OT) (Ours)",0.931,5.66878529337282,0,"Student-t",89,500,500
"SPI",0.984,8.98983317957539,0,"Student-t",89,500,500
"Synthetic-only",0.993,11.1345095980489,0.0199999999999996,"Student-t",89,500,500
"SCP",0.956,6.66224685013563,0,"Student-t",89,1000,1000
"RSA-CP (OT) (Ours)",0.9225,5.48301930727081,0,"Student-t",89,1000,1000
"SPI",0.984,8.98983317957539,0.00999999999999801,"Student-t",89,1000,1000
"Synthetic-only",0.9945,12.5666247568865,0,"Student-t",89,1000,1000
"SCP",0.956,6.66224685013563,0,"Student-t",89,2000,2000
"RSA-CP (OT) (Ours)",0.9195,5.34060322136767,0,"Student-t",89,2000,2000
"SPI",0.984,8.98983317957539,0.0300000000000011,"Student-t",89,2000,2000
"Synthetic-only",0.9945,12.5415705247986,0.0199999999999996,"Student-t",89,2000,2000
"SCP",0.956,6.66224685013563,0,"Student-t",89,3000,3000
"RSA-CP (OT) (Ours)",0.9195,5.34060322136767,0,"Student-t",89,3000,3000
"SPI",0.984,8.98983317957539,0.0500000000000007,"Student-t",89,3000,3000
"Synthetic-only",0.993,11.3902810083103,0,"Student-t",89,3000,3000
"SCP",0.872,6.40006797801408,0,"LogNormal",90,50,50
"RSA-CP (OT) (Ours)",0.872,6.39588174112119,0,"LogNormal",90,50,50
"SPI",0.998,24.9880575113726,0,"LogNormal",90,50,50
"Synthetic-only",0.974,11.6680378017189,0,"LogNormal",90,50,50
"SCP",0.872,6.40006797801408,0,"LogNormal",90,100,100
"RSA-CP (OT) (Ours)",0.84,5.82208260623863,0,"LogNormal",90,100,100
"SPI",0.9145,7.62621593008098,0.0199999999999996,"LogNormal",90,100,100
"Synthetic-only",0.9905,15.2254996944297,0,"LogNormal",90,100,100
"SCP",0.872,6.40006797801408,0,"LogNormal",90,250,250
"RSA-CP (OT) (Ours)",0.856,6.1280379877956,0,"LogNormal",90,250,250
"SPI",0.9145,7.62621593008098,0,"LogNormal",90,250,250
"Synthetic-only",0.9905,15.1700230401761,0,"LogNormal",90,250,250
"SCP",0.872,6.40006797801408,0,"LogNormal",90,500,500
"RSA-CP (OT) (Ours)",0.8525,6.04578244433526,0.00999999999999801,"LogNormal",90,500,500
"SPI",0.9145,7.62621593008098,0,"LogNormal",90,500,500
"Synthetic-only",0.9235,7.85761740576831,0,"LogNormal",90,500,500
"SCP",0.872,6.40006797801408,0,"LogNormal",90,1000,1000
"RSA-CP (OT) (Ours)",0.846,5.9445141770815,0,"LogNormal",90,1000,1000
"SPI",0.9145,7.62621593008098,0.0199999999999996,"LogNormal",90,1000,1000
"Synthetic-only",0.9875,13.6553466391567,0.0199999999999996,"LogNormal",90,1000,1000
"SCP",0.872,6.40006797801408,0,"LogNormal",90,2000,2000
"RSA-CP (OT) (Ours)",0.837,5.75428972341489,0,"LogNormal",90,2000,2000
"SPI",0.9145,7.62621593008098,0.0300000000000011,"LogNormal",90,2000,2000
"Synthetic-only",0.937,8.38841628184509,0,"LogNormal",90,2000,2000
"SCP",0.872,6.40006797801408,0,"LogNormal",90,3000,3000
"RSA-CP (OT) (Ours)",0.8385,5.80184583683154,0.0199999999999996,"LogNormal",90,3000,3000
"SPI",0.9145,7.62621593008098,0.0500000000000007,"LogNormal",90,3000,3000
"Synthetic-only",0.9505,8.87067554433769,0,"LogNormal",90,3000,3000
"SCP",0.975,8.10049329836195,0,"Student-t",90,50,50
"RSA-CP (OT) (Ours)",0.975,8.08751585346337,0,"Student-t",90,50,50
"SPI",0.989,10.2754378896037,0,"Student-t",90,50,50
"Synthetic-only",0.987,9.54615141189074,0,"Student-t",90,50,50
"SCP",0.975,8.10049329836195,0,"Student-t",90,100,100
"RSA-CP (OT) (Ours)",0.9715,7.67170526973775,0,"Student-t",90,100,100
"SPI",0.9965,14.6964970548786,0.00999999999999801,"Student-t",90,100,100
"Synthetic-only",0.995,13.3521290015745,0.00999999999999801,"Student-t",90,100,100
"SCP",0.975,8.10049329836195,0,"Student-t",90,250,250
"RSA-CP (OT) (Ours)",0.974,7.92119161997312,0,"Student-t",90,250,250
"SPI",0.9965,14.1526285640853,0,"Student-t",90,250,250
"Synthetic-only",0.9935,12.0762745670431,0,"Student-t",90,250,250
"SCP",0.975,8.10049329836195,0,"Student-t",90,500,500
"RSA-CP (OT) (Ours)",0.9715,7.67170526973775,0.0199999999999996,"Student-t",90,500,500
"SPI",0.9875,9.64108783948728,0,"Student-t",90,500,500
"Synthetic-only",0.9875,9.63903472677186,0,"Student-t",90,500,500
"SCP",0.975,8.10049329836195,0,"Student-t",90,1000,1000
"RSA-CP (OT) (Ours)",0.972,7.77226256220942,0.0100000000000016,"Student-t",90,1000,1000
"SPI",0.995,13.7901339216037,0.0199999999999996,"Student-t",90,1000,1000
"Synthetic-only",0.995,13.4095118739802,0,"Student-t",90,1000,1000
"SCP",0.975,8.10049329836195,0,"Student-t",90,2000,2000
"RSA-CP (OT) (Ours)",0.971,7.63310060428023,0,"Student-t",90,2000,2000
"SPI",0.995,13.5531123926463,0.0300000000000011,"Student-t",90,2000,2000
"Synthetic-only",0.995,13.4840380685192,0,"Student-t",90,2000,2000
"SCP",0.975,8.10049329836195,0,"Student-t",90,3000,3000
"RSA-CP (OT) (Ours)",0.971,7.64925464196575,0.0199999999999996,"Student-t",90,3000,3000
"SPI",0.9935,11.9408730189325,0.0299999999999976,"Student-t",90,3000,3000
"Synthetic-only",0.9935,11.9004594429614,0,"Student-t",90,3000,3000
"SCP",0.966,10.3919722168795,0,"LogNormal",91,50,50
"RSA-CP (OT) (Ours)",0.966,10.3850272682121,0,"LogNormal",91,50,50
"SPI",0.9945,17.6216242977711,0,"LogNormal",91,50,50
"Synthetic-only",0.9935,16.9435109230936,0,"LogNormal",91,50,50
"SCP",0.966,10.3919722168795,0,"LogNormal",91,100,100
"RSA-CP (OT) (Ours)",0.953,9.12246402156306,0.0199999999999996,"LogNormal",91,100,100
"SPI",0.9895,14.2142096970164,0,"LogNormal",91,100,100
"Synthetic-only",0.9465,8.71232287236701,0,"LogNormal",91,100,100
"SCP",0.966,10.3919722168795,0,"LogNormal",91,250,250
"RSA-CP (OT) (Ours)",0.948,8.76939004987301,0,"LogNormal",91,250,250
"SPI",0.9895,14.2142096970164,0,"LogNormal",91,250,250
"Synthetic-only",0.994,17.3953036415605,0,"LogNormal",91,250,250
"SCP",0.966,10.3919722168795,0,"LogNormal",91,500,500
"RSA-CP (OT) (Ours)",0.941,8.57196617150974,0,"LogNormal",91,500,500
"SPI",0.9515,9.01376463431851,0,"LogNormal",91,500,500
"Synthetic-only",0.951,8.96377966239228,0,"LogNormal",91,500,500
"SCP",0.966,10.3919722168795,0,"LogNormal",91,1000,1000
"RSA-CP (OT) (Ours)",0.9515,8.99071164540533,0.0199999999999996,"LogNormal",91,1000,1000
"SPI",0.9695,11.0506624060877,0.0199999999999996,"LogNormal",91,1000,1000
"Synthetic-only",0.9645,10.3252618730526,0,"LogNormal",91,1000,1000
"SCP",0.966,10.3919722168795,0,"LogNormal",91,2000,2000
"RSA-CP (OT) (Ours)",0.946,8.70778191543188,0,"LogNormal",91,2000,2000
"SPI",0.9515,8.99970001527074,0.0300000000000011,"LogNormal",91,2000,2000
"Synthetic-only",0.951,8.97443558580242,0.00999999999999801,"LogNormal",91,2000,2000
"SCP",0.966,10.3919722168795,0,"LogNormal",91,3000,3000
"RSA-CP (OT) (Ours)",0.9485,8.79896287789714,0,"LogNormal",91,3000,3000
"SPI",0.9875,13.7122938833136,0.0500000000000007,"LogNormal",91,3000,3000
"Synthetic-only",0.987,13.5915709554731,0,"LogNormal",91,3000,3000
"SCP",0.972,7.79267535212333,0,"Student-t",91,50,50
"RSA-CP (OT) (Ours)",0.972,7.77973374673345,0,"Student-t",91,50,50
"SPI",0.999,19.7052005479791,0.0199999999999996,"Student-t",91,50,50
"Synthetic-only",0.993,10.9908831452393,0,"Student-t",91,50,50
"SCP",0.972,7.79267535212333,0,"Student-t",91,100,100
"RSA-CP (OT) (Ours)",0.964,7.13759699303481,0,"Student-t",91,100,100
"SPI",0.996,14.063034183269,0,"Student-t",91,100,100
"Synthetic-only",0.995,13.2969451209461,0,"Student-t",91,100,100
"SCP",0.972,7.79267535212333,0,"Student-t",91,250,250
"RSA-CP (OT) (Ours)",0.9685,7.35987510008434,0,"Student-t",91,250,250
"SPI",0.9935,12.088130930562,0.0100000000000016,"Student-t",91,250,250
"Synthetic-only",0.9935,11.5790865634675,0,"Student-t",91,250,250
"SCP",0.972,7.79267535212333,0,"Student-t",91,500,500
"RSA-CP (OT) (Ours)",0.97,7.48336293733408,0,"Student-t",91,500,500
"SPI",0.986,9.35758341897904,0.0199999999999996,"Student-t",91,500,500
"Synthetic-only",0.984,9.10785506451201,0,"Student-t",91,500,500
"SCP",0.972,7.79267535212333,0,"Student-t",91,1000,1000
"RSA-CP (OT) (Ours)",0.9685,7.31729450829402,0,"Student-t",91,1000,1000
"SPI",0.993,11.2143542387509,0.00999999999999801,"Student-t",91,1000,1000
"Synthetic-only",0.993,11.2135261035343,0,"Student-t",91,1000,1000
"SCP",0.972,7.79267535212333,0,"Student-t",91,2000,2000
"RSA-CP (OT) (Ours)",0.9685,7.31729450829402,0,"Student-t",91,2000,2000
"SPI",0.9945,12.2336560145438,0.0500000000000007,"Student-t",91,2000,2000
"Synthetic-only",0.9935,12.0736990414511,0.0199999999999996,"Student-t",91,2000,2000
"SCP",0.972,7.79267535212333,0,"Student-t",91,3000,3000
"RSA-CP (OT) (Ours)",0.9685,7.31729450829402,0,"Student-t",91,3000,3000
"SPI",0.9915,10.6254049368188,0.0500000000000007,"Student-t",91,3000,3000
"Synthetic-only",0.9915,10.6022434262916,0,"Student-t",91,3000,3000
"SCP",0.922,7.81513778856803,0,"LogNormal",92,50,50
"RSA-CP (OT) (Ours)",0.922,7.80753340235249,0,"LogNormal",92,50,50
"SPI",0.997,22.6749435136794,0,"LogNormal",92,50,50
"Synthetic-only",0.996,19.8257282450151,0,"LogNormal",92,50,50
"SCP",0.922,7.81513778856803,0,"LogNormal",92,100,100
"RSA-CP (OT) (Ours)",0.9135,7.60879618847443,0.0200000000000031,"LogNormal",92,100,100
"SPI",0.99,14.2725287953632,0,"LogNormal",92,100,100
"Synthetic-only",0.9945,17.7798137842823,0,"LogNormal",92,100,100
"SCP",0.922,7.81513778856803,0,"LogNormal",92,250,250
"RSA-CP (OT) (Ours)",0.9065,7.38166794404236,0,"LogNormal",92,250,250
"SPI",0.9895,14.146044856365,0,"LogNormal",92,250,250
"Synthetic-only",0.959,9.4916257149298,0,"LogNormal",92,250,250
"SCP",0.922,7.81513778856803,0,"LogNormal",92,500,500
"RSA-CP (OT) (Ours)",0.911,7.54493326925387,0,"LogNormal",92,500,500
"SPI",0.99,14.2725287953632,0,"LogNormal",92,500,500
"Synthetic-only",0.9895,14.0896997436791,0,"LogNormal",92,500,500
"SCP",0.922,7.81513778856803,0,"LogNormal",92,1000,1000
"RSA-CP (OT) (Ours)",0.91,7.50984055637362,0.0199999999999996,"LogNormal",92,1000,1000
"SPI",0.984,13.4079066661074,0.0100000000000016,"LogNormal",92,1000,1000
"Synthetic-only",0.978,12.2103787043237,0,"LogNormal",92,1000,1000
"SCP",0.922,7.81513778856803,0,"LogNormal",92,2000,2000
"RSA-CP (OT) (Ours)",0.9095,7.47474784349337,0,"LogNormal",92,2000,2000
"SPI",0.944,8.66491891694613,0.0399999999999991,"LogNormal",92,2000,2000
"Synthetic-only",0.944,8.64224294322163,0,"LogNormal",92,2000,2000
"SCP",0.922,7.81513778856803,0,"LogNormal",92,3000,3000
"RSA-CP (OT) (Ours)",0.9095,7.47474784349337,0.0100000000000016,"LogNormal",92,3000,3000
"SPI",0.9505,8.89639223212481,0.0499999999999972,"LogNormal",92,3000,3000
"Synthetic-only",0.9505,8.88751732468291,0,"LogNormal",92,3000,3000
"SCP",0.9805,8.48589930436372,0,"Student-t",92,50,50
"RSA-CP (OT) (Ours)",0.9805,8.47944835345265,0,"Student-t",92,50,50
"SPI",0.998,15.8628527426179,0,"Student-t",92,50,50
"Synthetic-only",0.9855,9.2097779330117,0,"Student-t",92,50,50
"SCP",0.9805,8.48589930436372,0,"Student-t",92,100,100
"RSA-CP (OT) (Ours)",0.974,7.93610506090132,0.0100000000000016,"Student-t",92,100,100
"SPI",0.9825,8.60226006493183,0,"Student-t",92,100,100
"Synthetic-only",0.995,13.2105330126844,0,"Student-t",92,100,100
"SCP",0.9805,8.48589930436372,0,"Student-t",92,250,250
"RSA-CP (OT) (Ours)",0.9685,7.36713231084104,0,"Student-t",92,250,250
"SPI",0.9825,8.60226006493183,0,"Student-t",92,250,250
"Synthetic-only",0.9965,14.6350531255758,0,"Student-t",92,250,250
"SCP",0.9805,8.48589930436372,0,"Student-t",92,500,500
"RSA-CP (OT) (Ours)",0.952,6.39854519427628,0.0199999999999996,"Student-t",92,500,500
"SPI",0.9825,8.60226006493183,0,"Student-t",92,500,500
"Synthetic-only",0.9945,12.4994459001271,0,"Student-t",92,500,500
"SCP",0.9805,8.48589930436372,0,"Student-t",92,1000,1000
"RSA-CP (OT) (Ours)",0.9605,6.92387602771543,0.0100000000000016,"Student-t",92,1000,1000
"SPI",0.9825,8.60226006493183,0.0199999999999996,"Student-t",92,1000,1000
"Synthetic-only",0.993,11.0555912486959,0,"Student-t",92,1000,1000
"SCP",0.9805,8.48589930436372,0,"Student-t",92,2000,2000
"RSA-CP (OT) (Ours)",0.958,6.72830596440036,0,"Student-t",92,2000,2000
"SPI",0.9825,8.60226006493183,0.0299999999999976,"Student-t",92,2000,2000
"Synthetic-only",0.993,11.0659856898976,0,"Student-t",92,2000,2000
"SCP",0.9805,8.48589930436372,0,"Student-t",92,3000,3000
"RSA-CP (OT) (Ours)",0.954,6.57653966445148,0.0200000000000031,"Student-t",92,3000,3000
"SPI",0.9825,8.60226006493183,0.0299999999999976,"Student-t",92,3000,3000
"Synthetic-only",0.9925,10.7894558409844,0.0100000000000016,"Student-t",92,3000,3000
"SCP",0.931,8.23809581620359,0,"LogNormal",93,50,50
"RSA-CP (OT) (Ours)",0.931,8.22559792787899,0,"LogNormal",93,50,50
"SPI",0.997,23.3448354135527,0,"LogNormal",93,50,50
"Synthetic-only",0.9945,17.9662121544881,0,"LogNormal",93,50,50
"SCP",0.931,8.23809581620359,0,"LogNormal",93,100,100
"RSA-CP (OT) (Ours)",0.9155,7.66792486508252,0.0199999999999996,"LogNormal",93,100,100
"SPI",0.9315,8.27739476251153,0,"LogNormal",93,100,100
"Synthetic-only",0.9945,18.4773441332554,0,"LogNormal",93,100,100
"SCP",0.931,8.23809581620359,0,"LogNormal",93,250,250
"RSA-CP (OT) (Ours)",0.914,7.60983452519553,0,"LogNormal",93,250,250
"SPI",0.9315,8.27739476251153,0,"LogNormal",93,250,250
"Synthetic-only",0.938,8.45936915085834,0,"LogNormal",93,250,250
"SCP",0.931,8.23809581620359,0,"LogNormal",93,500,500
"RSA-CP (OT) (Ours)",0.911,7.55174418530855,0,"LogNormal",93,500,500
"SPI",0.9315,8.27739476251153,0,"LogNormal",93,500,500
"Synthetic-only",0.971,11.2720429201271,0,"LogNormal",93,500,500
"SCP",0.931,8.23809581620359,0,"LogNormal",93,1000,1000
"RSA-CP (OT) (Ours)",0.9105,7.52269901536505,0.0100000000000016,"LogNormal",93,1000,1000
"SPI",0.9315,8.27739476251153,0.0199999999999996,"LogNormal",93,1000,1000
"Synthetic-only",0.9925,16.600859000799,0,"LogNormal",93,1000,1000
"SCP",0.931,8.23809581620359,0,"LogNormal",93,2000,2000
"RSA-CP (OT) (Ours)",0.9095,7.48811981993492,0,"LogNormal",93,2000,2000
"SPI",0.9315,8.27739476251153,0.0299999999999976,"LogNormal",93,2000,2000
"Synthetic-only",0.9875,13.7003107738146,0.00999999999999801,"LogNormal",93,2000,2000
"SCP",0.931,8.23809581620359,0,"LogNormal",93,3000,3000
"RSA-CP (OT) (Ours)",0.9095,7.48811981993492,0,"LogNormal",93,3000,3000
"SPI",0.9315,8.27739476251153,0.0500000000000007,"LogNormal",93,3000,3000
"Synthetic-only",0.9715,11.3394901815941,0,"LogNormal",93,3000,3000
"SCP",0.9865,9.42766926420606,0,"Student-t",93,50,50
"RSA-CP (OT) (Ours)",0.9865,9.42728315724397,0,"Student-t",93,50,50
"SPI",0.9915,10.5449394332144,0,"Student-t",93,50,50
"Synthetic-only",0.99,10.3977618406282,0,"Student-t",93,50,50
"SCP",0.9865,9.42766926420606,0,"Student-t",93,100,100
"RSA-CP (OT) (Ours)",0.951,6.31050790933882,0.0199999999999996,"Student-t",93,100,100
"SPI",0.9935,11.5280315105595,0,"Student-t",93,100,100
"Synthetic-only",0.993,10.9972281741392,0,"Student-t",93,100,100
"SCP",0.9865,9.42766926420606,0,"Student-t",93,250,250
"RSA-CP (OT) (Ours)",0.963,7.08154082756903,0,"Student-t",93,250,250
"SPI",0.993,11.4299074683615,0,"Student-t",93,250,250
"Synthetic-only",0.993,11.3609078353271,0,"Student-t",93,250,250
"SCP",0.9865,9.42766926420606,0,"Student-t",93,500,500
"RSA-CP (OT) (Ours)",0.964,7.13958624418845,0.00999999999999801,"Student-t",93,500,500
"SPI",0.9945,12.3143983170994,0,"Student-t",93,500,500
"Synthetic-only",0.9935,11.7717207151117,0,"Student-t",93,500,500
"SCP",0.9865,9.42766926420606,0,"Student-t",93,1000,1000
"RSA-CP (OT) (Ours)",0.966,7.23159462000008,0.0200000000000031,"Student-t",93,1000,1000
"SPI",0.9935,11.7909569228343,0.00999999999999801,"Student-t",93,1000,1000
"Synthetic-only",0.9935,11.7762585904082,0,"Student-t",93,1000,1000
"SCP",0.9865,9.42766926420606,0,"Student-t",93,2000,2000
"RSA-CP (OT) (Ours)",0.9595,6.76306050661606,0,"Student-t",93,2000,2000
"SPI",0.9935,11.8534826338893,0.0300000000000011,"Student-t",93,2000,2000
"Synthetic-only",0.9935,11.8312269654105,0,"Student-t",93,2000,2000
"SCP",0.9865,9.42766926420606,0,"Student-t",93,3000,3000
"RSA-CP (OT) (Ours)",0.9605,6.94962769300547,0.0199999999999996,"Student-t",93,3000,3000
"SPI",0.993,11.0016918932456,0.0500000000000007,"Student-t",93,3000,3000
"Synthetic-only",0.993,10.9169397933053,0,"Student-t",93,3000,3000
"SCP",0.968,10.7556611622295,0,"LogNormal",94,50,50
"RSA-CP (OT) (Ours)",0.968,10.740002289305,0,"LogNormal",94,50,50
"SPI",0.9975,24.252539170978,0,"LogNormal",94,50,50
"Synthetic-only",0.9955,19.3051853964906,0,"LogNormal",94,50,50
"SCP",0.968,10.7556611622295,0,"LogNormal",94,100,100
"RSA-CP (OT) (Ours)",0.9635,10.1804391448202,0,"LogNormal",94,100,100
"SPI",0.963,10.0735084420814,0,"LogNormal",94,100,100
"Synthetic-only",0.9195,7.74840751417371,0,"LogNormal",94,100,100
"SCP",0.968,10.7556611622295,0,"LogNormal",94,250,250
"RSA-CP (OT) (Ours)",0.9665,10.5141591522339,0,"LogNormal",94,250,250
"SPI",0.9805,12.4260394677831,0.0199999999999996,"LogNormal",94,250,250
"Synthetic-only",0.9765,12.021169140736,0,"LogNormal",94,250,250
"SCP",0.968,10.7556611622295,0,"LogNormal",94,500,500
"RSA-CP (OT) (Ours)",0.9665,10.4826737757942,0,"LogNormal",94,500,500
"SPI",0.9805,12.4260394677831,0.0100000000000016,"LogNormal",94,500,500
"Synthetic-only",0.9925,16.5092956840355,0,"LogNormal",94,500,500
"SCP",0.968,10.7556611622295,0,"LogNormal",94,1000,1000
"RSA-CP (OT) (Ours)",0.966,10.395318160996,0,"LogNormal",94,1000,1000
"SPI",0.9655,10.3710135278542,0.0199999999999996,"LogNormal",94,1000,1000
"Synthetic-only",0.962,9.95368319606018,0,"LogNormal",94,1000,1000
"SCP",0.968,10.7556611622295,0,"LogNormal",94,2000,2000
"RSA-CP (OT) (Ours)",0.9645,10.2734406507007,0,"LogNormal",94,2000,2000
"SPI",0.963,10.0735084420814,0.0500000000000007,"LogNormal",94,2000,2000
"Synthetic-only",0.9545,9.25293384687811,0.0100000000000016,"LogNormal",94,2000,2000
"SCP",0.968,10.7556611622295,0,"LogNormal",94,3000,3000
"RSA-CP (OT) (Ours)",0.9645,10.2734406507007,0,"LogNormal",94,3000,3000
"SPI",0.963,10.0735084420814,0.0399999999999991,"LogNormal",94,3000,3000
"Synthetic-only",0.954,9.21347996731192,0,"LogNormal",94,3000,3000
"SCP",0.947,6.13328193072524,0,"Student-t",94,50,50
"RSA-CP (OT) (Ours)",0.947,6.12486801068737,0,"Student-t",94,50,50
"SPI",0.999,19.9493574149108,0.0199999999999996,"Student-t",94,50,50
"Synthetic-only",0.999,17.006036812604,0.0199999999999996,"Student-t",94,50,50
"SCP",0.947,6.13328193072524,0,"Student-t",94,100,100
"RSA-CP (OT) (Ours)",0.946,6.08132629497158,0,"Student-t",94,100,100
"SPI",0.949,6.2845316924493,0,"Student-t",94,100,100
"Synthetic-only",0.9965,14.3909751805168,0,"Student-t",94,100,100
"SCP",0.947,6.13328193072524,0,"Student-t",94,250,250
"RSA-CP (OT) (Ours)",0.943,5.99424286354001,0,"Student-t",94,250,250
"SPI",0.949,6.2845316924493,0.0100000000000016,"Student-t",94,250,250
"Synthetic-only",0.995,13.0165196617512,0,"Student-t",94,250,250
"SCP",0.947,6.13328193072524,0,"Student-t",94,500,500
"RSA-CP (OT) (Ours)",0.94,5.92089259566134,0,"Student-t",94,500,500
"SPI",0.949,6.2845316924493,0,"Student-t",94,500,500
"Synthetic-only",0.9935,11.7885616612769,0,"Student-t",94,500,500
"SCP",0.947,6.13328193072524,0,"Student-t",94,1000,1000
"RSA-CP (OT) (Ours)",0.9385,5.89234768299466,0,"Student-t",94,1000,1000
"SPI",0.949,6.2845316924493,0.0199999999999996,"Student-t",94,1000,1000
"Synthetic-only",0.9885,9.90775732938976,0,"Student-t",94,1000,1000
"SCP",0.947,6.13328193072524,0,"Student-t",94,2000,2000
"RSA-CP (OT) (Ours)",0.941,5.9308597593541,0,"Student-t",94,2000,2000
"SPI",0.949,6.2845316924493,0.0300000000000011,"Student-t",94,2000,2000
"Synthetic-only",0.993,11.0547355861808,0,"Student-t",94,2000,2000
"SCP",0.947,6.13328193072524,0,"Student-t",94,3000,3000
"RSA-CP (OT) (Ours)",0.9385,5.89469989303195,0.00999999999999801,"Student-t",94,3000,3000
"SPI",0.949,6.2845316924493,0.0500000000000007,"Student-t",94,3000,3000
"Synthetic-only",0.9945,12.3471317205267,0,"Student-t",94,3000,3000
"SCP",0.9515,9.07455742178287,0,"LogNormal",95,50,50
"RSA-CP (OT) (Ours)",0.9515,9.06474651881072,0.0100000000000016,"LogNormal",95,50,50
"SPI",0.996,20.4773357217056,0,"LogNormal",95,50,50
"Synthetic-only",0.996,20.1878539751003,0,"LogNormal",95,50,50
"SCP",0.9515,9.07455742178287,0,"LogNormal",95,100,100
"RSA-CP (OT) (Ours)",0.9425,8.58992646306349,0,"LogNormal",95,100,100
"SPI",0.935,8.32390131944708,0,"LogNormal",95,100,100
