"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"Synthetic-only",0.9695,11.0870866906241,0,"LogNormal",5,2000,2000
"SCP",0.9685,10.973385873909,0,"LogNormal",5,3000,3000
"RSA-CP (OT) (Ours)",0.96,9.72154259439046,0,"LogNormal",5,3000,3000
"SPI",0.9485,8.80031993414135,0.0499999999999998,"LogNormal",5,3000,3000
"Synthetic-only",0.936,8.35546957210335,0.02,"LogNormal",5,3000,3000
"SCP",0.9945,12.3594715551435,0,"Student-t",5,50,50
"RSA-CP (OT) (Ours)",0.9945,12.338987418687,0,"Student-t",5,50,50
"SPI",0.999,17.2558079620714,0,"Student-t",5,50,50
"Synthetic-only",0.9985,16.5146583547319,0,"Student-t",5,50,50
"SCP",0.9945,12.3594715551435,0,"Student-t",5,100,100
"RSA-CP (OT) (Ours)",0.97,7.5230050843525,0,"Student-t",5,100,100
"SPI",0.995,13.5221878043481,0,"Student-t",5,100,100
"Synthetic-only",0.995,13.0745747421348,0,"Student-t",5,100,100
"SCP",0.9945,12.3594715551435,0,"Student-t",5,250,250
"RSA-CP (OT) (Ours)",0.987,9.60048765994776,0.0100000000000002,"Student-t",5,250,250
"SPI",0.9965,14.7587969283625,0,"Student-t",5,250,250
"Synthetic-only",0.995,13.6893681740727,0,"Student-t",5,250,250
"SCP",0.9945,12.3594715551435,0,"Student-t",5,500,500
"RSA-CP (OT) (Ours)",0.9835,8.75060842447697,0,"Student-t",5,500,500
"SPI",0.9915,10.6046137691932,0.02,"Student-t",5,500,500
"Synthetic-only",0.989,10.2459421787308,0,"Student-t",5,500,500
"SCP",0.9945,12.3594715551435,0,"Student-t",5,1000,1000
"RSA-CP (OT) (Ours)",0.9845,9.16305945763023,0,"Student-t",5,1000,1000
"SPI",0.9935,11.482039507499,0.00999999999999979,"Student-t",5,1000,1000
"Synthetic-only",0.993,11.1243919059554,0,"Student-t",5,1000,1000
"SCP",0.9945,12.3594715551435,0,"Student-t",5,2000,2000
"RSA-CP (OT) (Ours)",0.984,9.03460535308401,0.02,"Student-t",5,2000,2000
"SPI",0.9935,11.8289401675805,0.0299999999999998,"Student-t",5,2000,2000
"Synthetic-only",0.9935,11.7505227336334,0,"Student-t",5,2000,2000
"SCP",0.9945,12.3594715551435,0,"Student-t",5,3000,3000
"RSA-CP (OT) (Ours)",0.9845,9.12024142278149,0,"Student-t",5,3000,3000
"SPI",0.995,12.8178992348246,0.0500000000000003,"Student-t",5,3000,3000
"Synthetic-only",0.9945,12.7640431950044,0,"Student-t",5,3000,3000
"SCP",0.9705,11.188580393768,0,"LogNormal",6,50,50
"RSA-CP (OT) (Ours)",0.9705,11.1747609599578,0,"LogNormal",6,50,50
"SPI",0.999,28.4519362135008,0,"LogNormal",6,50,50
"Synthetic-only",0.9375,8.41094399042585,0,"LogNormal",6,50,50
"SCP",0.9705,11.188580393768,0,"LogNormal",6,100,100
"RSA-CP (OT) (Ours)",0.9615,9.87359016325037,0,"LogNormal",6,100,100
"SPI",0.9765,12.0302093076092,0.02,"LogNormal",6,100,100
"Synthetic-only",0.9775,12.0880812756847,0.02,"LogNormal",6,100,100
"SCP",0.9705,11.188580393768,0,"LogNormal",6,250,250
"RSA-CP (OT) (Ours)",0.9605,9.83532043393545,0,"LogNormal",6,250,250
"SPI",0.9765,12.0302093076092,0,"LogNormal",6,250,250
"Synthetic-only",0.9955,19.3341049628422,0,"LogNormal",6,250,250
"SCP",0.9705,11.188580393768,0,"LogNormal",6,500,500
"RSA-CP (OT) (Ours)",0.9605,9.83532043393545,0.0100000000000002,"LogNormal",6,500,500
"SPI",0.9615,9.91676141597076,0,"LogNormal",6,500,500
"Synthetic-only",0.9375,8.41168470469911,0,"LogNormal",6,500,500
"SCP",0.9705,11.188580393768,0,"LogNormal",6,1000,1000
"RSA-CP (OT) (Ours)",0.96,9.72051124599068,0.02,"LogNormal",6,1000,1000
"SPI",0.9765,12.0302093076092,0.02,"LogNormal",6,1000,1000
"Synthetic-only",0.9895,14.0124308180916,0,"LogNormal",6,1000,1000
"SCP",0.9705,11.188580393768,0,"LogNormal",6,2000,2000
"RSA-CP (OT) (Ours)",0.96,9.72051124599068,0,"LogNormal",6,2000,2000
"SPI",0.953,9.16059012810082,0.0299999999999998,"LogNormal",6,2000,2000
"Synthetic-only",0.948,8.76919225723501,0,"LogNormal",6,2000,2000
"SCP",0.9705,11.188580393768,0,"LogNormal",6,3000,3000
"RSA-CP (OT) (Ours)",0.9615,9.93295519396163,0,"LogNormal",6,3000,3000
"SPI",0.9595,9.67715306076649,0.0499999999999998,"LogNormal",6,3000,3000
"Synthetic-only",0.955,9.29434667340132,0,"LogNormal",6,3000,3000
"SCP",0.901,4.84861058555221,0,"Student-t",6,50,50
"RSA-CP (OT) (Ours)",0.9005,4.84482550231544,0,"Student-t",6,50,50
"SPI",0.999,17.0145524711028,0,"Student-t",6,50,50
"Synthetic-only",0.9935,11.859152896855,0,"Student-t",6,50,50
"SCP",0.901,4.84861058555221,0,"Student-t",6,100,100
"RSA-CP (OT) (Ours)",0.8775,4.41003347005637,0,"Student-t",6,100,100
"SPI",0.9985,16.1597123853831,0,"Student-t",6,100,100
"Synthetic-only",0.9965,14.5933523053536,0,"Student-t",6,100,100
"SCP",0.901,4.84861058555221,0,"Student-t",6,250,250
"RSA-CP (OT) (Ours)",0.8795,4.47214661752195,0,"Student-t",6,250,250
"SPI",0.993,11.0633992135914,0.00999999999999979,"Student-t",6,250,250
"Synthetic-only",0.988,9.73282662744175,0,"Student-t",6,250,250
"SCP",0.901,4.84861058555221,0,"Student-t",6,500,500
"RSA-CP (OT) (Ours)",0.8675,4.2858071751252,0,"Student-t",6,500,500
"SPI",0.998,15.5525837975259,0,"Student-t",6,500,500
"Synthetic-only",0.997,15.0388448178609,0,"Student-t",6,500,500
