"Method","Cov","Width","Time","Dataset","Trial","Shock_Probability"
"SCP",0.9015,4.76591195086306,0,"Student-t",6,0.3
"RSA-CP (OT) (Ours)",0.8285,3.51767189367726,0,"Student-t",6,0.3
"SCP",0.9015,4.76591195086306,0,"Student-t",6,0.4
"RSA-CP (OT) (Ours)",0.8435,3.69771838424111,0,"Student-t",6,0.4
"SCP",0.9015,4.76591195086306,0,"Student-t",6,0.5
"RSA-CP (OT) (Ours)",0.8355,3.58812376764184,0,"Student-t",6,0.5
"SCP",0.97,9.53850912564771,0,"LogNormal",7,0
"RSA-CP (OT) (Ours)",0.964,9.08521988250184,0,"LogNormal",7,0
"SCP",0.97,9.53850912564771,0,"LogNormal",7,0.1
"RSA-CP (OT) (Ours)",0.964,9.10990252868195,0,"LogNormal",7,0.1
"SCP",0.97,9.53850912564771,0,"LogNormal",7,0.2
"RSA-CP (OT) (Ours)",0.9555,8.53801352885332,0.0200000000000102,"LogNormal",7,0.2
"SCP",0.97,9.53850912564771,0,"LogNormal",7,0.3
"RSA-CP (OT) (Ours)",0.9625,8.98195651768073,0,"LogNormal",7,0.3
"SCP",0.97,9.53850912564771,0,"LogNormal",7,0.4
"RSA-CP (OT) (Ours)",0.957,8.73150385342164,0,"LogNormal",7,0.4
"SCP",0.97,9.53850912564771,0,"LogNormal",7,0.5
"RSA-CP (OT) (Ours)",0.964,9.06890909563942,0,"LogNormal",7,0.5
"SCP",0.981,9.46342508623075,0,"Student-t",7,0
"RSA-CP (OT) (Ours)",0.968,7.84474960324844,0,"Student-t",7,0
"SCP",0.981,9.46342508623075,0,"Student-t",7,0.1
"RSA-CP (OT) (Ours)",0.969,7.97773570955152,0,"Student-t",7,0.1
"SCP",0.981,9.46342508623075,0,"Student-t",7,0.2
"RSA-CP (OT) (Ours)",0.9655,7.58532621761002,0,"Student-t",7,0.2
"SCP",0.981,9.46342508623075,0,"Student-t",7,0.3
"RSA-CP (OT) (Ours)",0.969,7.9381732723141,0,"Student-t",7,0.3
"SCP",0.981,9.46342508623075,0,"Student-t",7,0.4
"RSA-CP (OT) (Ours)",0.969,8.01166582354993,0,"Student-t",7,0.4
"SCP",0.981,9.46342508623075,0,"Student-t",7,0.5
"RSA-CP (OT) (Ours)",0.968,7.89757848272802,0,"Student-t",7,0.5
"SCP",0.986,12.6333818286741,0,"LogNormal",8,0
"RSA-CP (OT) (Ours)",0.9725,9.80432999060818,0,"LogNormal",8,0
"SCP",0.986,12.6333818286741,0,"LogNormal",8,0.1
"RSA-CP (OT) (Ours)",0.9735,9.8613357027288,0,"LogNormal",8,0.1
"SCP",0.986,12.6333818286741,0,"LogNormal",8,0.2
"RSA-CP (OT) (Ours)",0.974,10.0326391996262,0,"LogNormal",8,0.2
"SCP",0.986,12.6333818286741,0,"LogNormal",8,0.3
"RSA-CP (OT) (Ours)",0.9735,9.88179678443007,0,"LogNormal",8,0.3
"SCP",0.986,12.6333818286741,0,"LogNormal",8,0.4
"RSA-CP (OT) (Ours)",0.9565,8.60508254714318,0,"LogNormal",8,0.4
"SCP",0.986,12.6333818286741,0,"LogNormal",8,0.5
"RSA-CP (OT) (Ours)",0.9665,9.28506729812385,0.0199999999999818,"LogNormal",8,0.5
"SCP",0.957,6.85752491426185,0,"Student-t",8,0
"RSA-CP (OT) (Ours)",0.862,4.04835924834907,0,"Student-t",8,0
"SCP",0.957,6.85752491426185,0,"Student-t",8,0.1
"RSA-CP (OT) (Ours)",0.877,4.25816459295119,0,"Student-t",8,0.1
"SCP",0.957,6.85752491426185,0,"Student-t",8,0.2
"RSA-CP (OT) (Ours)",0.851,3.84237757205042,0.0100000000000193,"Student-t",8,0.2
"SCP",0.957,6.85752491426185,0,"Student-t",8,0.3
"RSA-CP (OT) (Ours)",0.831,3.54632525483517,0,"Student-t",8,0.3
"SCP",0.957,6.85752491426185,0,"Student-t",8,0.4
"RSA-CP (OT) (Ours)",0.861,4.02354926713947,0,"Student-t",8,0.4
"SCP",0.957,6.85752491426185,0,"Student-t",8,0.5
"RSA-CP (OT) (Ours)",0.8165,3.40245594469231,0.0199999999999818,"Student-t",8,0.5
"SCP",0.9965,16.8290158413576,0,"LogNormal",9,0
"RSA-CP (OT) (Ours)",0.9935,14.4043538299631,0,"LogNormal",9,0
"SCP",0.9965,16.8290158413576,0,"LogNormal",9,0.1
"RSA-CP (OT) (Ours)",0.9915,13.9590142386631,0.0100000000000193,"LogNormal",9,0.1
"SCP",0.9965,16.8290158413576,0,"LogNormal",9,0.2
"RSA-CP (OT) (Ours)",0.994,14.7478047554963,0,"LogNormal",9,0.2
"SCP",0.9965,16.8290158413576,0,"LogNormal",9,0.3
"RSA-CP (OT) (Ours)",0.9925,14.1418643310048,0,"LogNormal",9,0.3
"SCP",0.9965,16.8290158413576,0,"LogNormal",9,0.4
"RSA-CP (OT) (Ours)",0.992,14.0291618549236,0,"LogNormal",9,0.4
"SCP",0.9965,16.8290158413576,0,"LogNormal",9,0.5
"RSA-CP (OT) (Ours)",0.9865,12.8573854497003,0,"LogNormal",9,0.5
"SCP",0.9045,4.84548054320922,0,"Student-t",9,0
"RSA-CP (OT) (Ours)",0.9015,4.75382703347737,0,"Student-t",9,0
"SCP",0.9045,4.84548054320922,0,"Student-t",9,0.1
"RSA-CP (OT) (Ours)",0.8585,3.99283743666505,0,"Student-t",9,0.1
"SCP",0.9045,4.84548054320922,0,"Student-t",9,0.2
"RSA-CP (OT) (Ours)",0.9,4.70759453908859,0.0200000000000102,"Student-t",9,0.2
"SCP",0.9045,4.84548054320922,0,"Student-t",9,0.3
"RSA-CP (OT) (Ours)",0.889,4.48812271217717,0,"Student-t",9,0.3
"SCP",0.9045,4.84548054320922,0,"Student-t",9,0.4
"RSA-CP (OT) (Ours)",0.9015,4.7651535953271,0,"Student-t",9,0.4
"SCP",0.9045,4.84548054320922,0,"Student-t",9,0.5
"RSA-CP (OT) (Ours)",0.8735,4.2117366058484,0.00999999999999091,"Student-t",9,0.5
"SCP",0.984,12.0742024192406,0,"LogNormal",10,0
"RSA-CP (OT) (Ours)",0.9795,11.3080643822984,0.0200000000000102,"LogNormal",10,0
"SCP",0.984,12.0742024192406,0,"LogNormal",10,0.1
"RSA-CP (OT) (Ours)",0.9795,11.2294116468681,0,"LogNormal",10,0.1
"SCP",0.984,12.0742024192406,0,"LogNormal",10,0.2
"RSA-CP (OT) (Ours)",0.9795,10.9763124946013,0,"LogNormal",10,0.2
"SCP",0.984,12.0742024192406,0,"LogNormal",10,0.3
"RSA-CP (OT) (Ours)",0.9795,11.0198787517255,0,"LogNormal",10,0.3
"SCP",0.984,12.0742024192406,0,"LogNormal",10,0.4
"RSA-CP (OT) (Ours)",0.9795,11.1012321082529,0.00999999999999091,"LogNormal",10,0.4
"SCP",0.984,12.0742024192406,0,"LogNormal",10,0.5
"RSA-CP (OT) (Ours)",0.9795,11.0895242185917,0,"LogNormal",10,0.5
"SCP",0.9465,6.27456528918976,0,"Student-t",10,0
"RSA-CP (OT) (Ours)",0.943,6.04125790043091,0,"Student-t",10,0
"SCP",0.9465,6.27456528918976,0,"Student-t",10,0.1
"RSA-CP (OT) (Ours)",0.943,6.05839112695518,0.0200000000000102,"Student-t",10,0.1
"SCP",0.9465,6.27456528918976,0,"Student-t",10,0.2
"RSA-CP (OT) (Ours)",0.943,6.06659290345684,0,"Student-t",10,0.2
"SCP",0.9465,6.27456528918976,0,"Student-t",10,0.3
"RSA-CP (OT) (Ours)",0.943,6.05529292345437,0,"Student-t",10,0.3
"SCP",0.9465,6.27456528918976,0,"Student-t",10,0.4
"RSA-CP (OT) (Ours)",0.9365,5.71365925039685,0.00999999999999091,"Student-t",10,0.4
"SCP",0.9465,6.27456528918976,0,"Student-t",10,0.5
"RSA-CP (OT) (Ours)",0.9365,5.72741496419145,0,"Student-t",10,0.5
"SCP",0.9625,8.98518043438911,0,"LogNormal",11,0
"RSA-CP (OT) (Ours)",0.945,8.1604704823889,0.0200000000000102,"LogNormal",11,0
"SCP",0.9625,8.98518043438911,0,"LogNormal",11,0.1
"RSA-CP (OT) (Ours)",0.945,8.19107428845451,0,"LogNormal",11,0.1
"SCP",0.9625,8.98518043438911,0,"LogNormal",11,0.2
"RSA-CP (OT) (Ours)",0.9445,8.04018654245333,0,"LogNormal",11,0.2
"SCP",0.9625,8.98518043438911,0,"LogNormal",11,0.3
"RSA-CP (OT) (Ours)",0.937,7.74705444833233,0.00999999999999091,"LogNormal",11,0.3
"SCP",0.9625,8.98518043438911,0,"LogNormal",11,0.4
"RSA-CP (OT) (Ours)",0.9395,7.87119209901279,0,"LogNormal",11,0.4
"SCP",0.9625,8.98518043438911,0,"LogNormal",11,0.5
"RSA-CP (OT) (Ours)",0.9365,7.73906668610152,0,"LogNormal",11,0.5
"SCP",0.781,3.10384553975171,0,"Student-t",11,0
"RSA-CP (OT) (Ours)",0.7425,2.76997986309829,0.0200000000000102,"Student-t",11,0
"SCP",0.781,3.10384553975171,0,"Student-t",11,0.1
"RSA-CP (OT) (Ours)",0.6525,2.22063350378026,0,"Student-t",11,0.1
"SCP",0.781,3.10384553975171,0,"Student-t",11,0.2
"RSA-CP (OT) (Ours)",0.7165,2.61808290465989,0,"Student-t",11,0.2
"SCP",0.781,3.10384553975171,0,"Student-t",11,0.3
"RSA-CP (OT) (Ours)",0.7405,2.75742552926617,0,"Student-t",11,0.3
"SCP",0.781,3.10384553975171,0,"Student-t",11,0.4
"RSA-CP (OT) (Ours)",0.717,2.62110366913514,0,"Student-t",11,0.4
"SCP",0.781,3.10384553975171,0,"Student-t",11,0.5
"RSA-CP (OT) (Ours)",0.7125,2.56969514121587,0,"Student-t",11,0.5
"SCP",0.9795,11.1202018774814,0,"LogNormal",12,0
"RSA-CP (OT) (Ours)",0.974,10.0064095119249,0,"LogNormal",12,0
"SCP",0.9795,11.1202018774814,0,"LogNormal",12,0.1
"RSA-CP (OT) (Ours)",0.974,9.98651975073496,0,"LogNormal",12,0.1
"SCP",0.9795,11.1202018774814,0,"LogNormal",12,0.2
