"Method","Cov","Width","Time","Dataset","Trial","Noise"
"SPI",0.954,6.71525530133073,0.0599999999999952,"Student-t",5,1
"Synthetic-only",0.9625,7.21907989980618,0.00999999999999801,"Student-t",5,1
"SCP",0.9395,5.95010522553267,0,"Student-t",5,1.5
"RSA-CP (OT) (Ours)",0.9325,5.7657354840478,0,"Student-t",5,1.5
"SPI",0.954,6.71525530133073,0.0500000000000043,"Student-t",5,1.5
"Synthetic-only",0.975,8.3929520000475,0,"Student-t",5,1.5
"SCP",0.9395,5.95010522553267,0,"Student-t",5,2
"RSA-CP (OT) (Ours)",0.933,5.79499426311586,0.00999999999999801,"Student-t",5,2
"SPI",0.954,6.71525530133073,0.0500000000000043,"Student-t",5,2
"Synthetic-only",0.985,9.86737484382028,0,"Student-t",5,2
"SCP",0.9395,5.95010522553267,0,"Student-t",5,3
"RSA-CP (OT) (Ours)",0.9325,5.76748190305102,0,"Student-t",5,3
"SPI",0.954,6.71525530133073,0.0499999999999972,"Student-t",5,3
"Synthetic-only",0.9955,13.262882643844,0,"Student-t",5,3
"SCP",0.9405,8.29164178433871,0,"LogNormal",6,0.25
"RSA-CP (OT) (Ours)",0.9305,7.89660110399317,0,"LogNormal",6,0.25
"SPI",0.9225,7.60723830178565,0.0500000000000043,"LogNormal",6,0.25
"Synthetic-only",0.7275,4.2965930898199,0,"LogNormal",6,0.25
"SCP",0.9405,8.29164178433871,0,"LogNormal",6,0.5
"RSA-CP (OT) (Ours)",0.9305,7.88274741784581,0,"LogNormal",6,0.5
"SPI",0.9225,7.60723830178565,0.0499999999999972,"LogNormal",6,0.5
"Synthetic-only",0.8005,4.970235823198,0,"LogNormal",6,0.5
"SCP",0.9405,8.29164178433871,0,"LogNormal",6,1
"RSA-CP (OT) (Ours)",0.9305,7.89660110399317,0,"LogNormal",6,1
"SPI",0.9225,7.60723830178565,0.0500000000000043,"LogNormal",6,1
"Synthetic-only",0.9005,6.66058262033173,0,"LogNormal",6,1
"SCP",0.9405,8.29164178433871,0,"LogNormal",6,1.5
"RSA-CP (OT) (Ours)",0.9305,7.88698444911903,0.00999999999999801,"LogNormal",6,1.5
"SPI",0.9395,8.27350275692768,0.0499999999999972,"LogNormal",6,1.5
"Synthetic-only",0.939,8.26997897416699,0,"LogNormal",6,1.5
"SCP",0.9405,8.29164178433871,0,"LogNormal",6,2
"RSA-CP (OT) (Ours)",0.9325,7.93768171660893,0,"LogNormal",6,2
"SPI",0.972,10.2605512791347,0.0500000000000043,"LogNormal",6,2
"Synthetic-only",0.972,10.2604556294835,0,"LogNormal",6,2
"SCP",0.9405,8.29164178433871,0,"LogNormal",6,3
"RSA-CP (OT) (Ours)",0.93,7.8640030290118,0.00999999999999801,"LogNormal",6,3
"SPI",0.9765,11.0737131271202,0.0499999999999972,"LogNormal",6,3
"Synthetic-only",0.9885,13.1221388380266,0,"LogNormal",6,3
"SCP",0.949,6.44725315193187,0,"Student-t",6,0.25
"RSA-CP (OT) (Ours)",0.9425,6.1695447633744,0,"Student-t",6,0.25
"SPI",0.949,6.40352554264503,0.0500000000000043,"Student-t",6,0.25
"Synthetic-only",0.9485,6.38961271228659,0,"Student-t",6,0.25
"SCP",0.949,6.44725315193187,0,"Student-t",6,0.5
"RSA-CP (OT) (Ours)",0.9415,6.11933965731442,0,"Student-t",6,0.5
"SPI",0.953,6.57268780812643,0.0399999999999991,"Student-t",6,0.5
"Synthetic-only",0.953,6.56282734002151,0,"Student-t",6,0.5
"SCP",0.949,6.44725315193187,0,"Student-t",6,1
"RSA-CP (OT) (Ours)",0.944,6.20402439424478,0.0200000000000031,"Student-t",6,1
"SPI",0.9625,7.21169448084009,0.0499999999999972,"Student-t",6,1
"Synthetic-only",0.9625,7.20227495226249,0,"Student-t",6,1
"SCP",0.949,6.44725315193187,0,"Student-t",6,1.5
"RSA-CP (OT) (Ours)",0.9425,6.16482802410568,0,"Student-t",6,1.5
"SPI",0.9765,8.62314732184472,0.0399999999999991,"Student-t",6,1.5
"Synthetic-only",0.9775,8.73424616612948,0,"Student-t",6,1.5
"SCP",0.949,6.44725315193187,0,"Student-t",6,2
"RSA-CP (OT) (Ours)",0.944,6.19271114736315,0,"Student-t",6,2
"SPI",0.9765,8.62314732184472,0.0700000000000003,"Student-t",6,2
"Synthetic-only",0.985,10.0819415123675,0.0200000000000031,"Student-t",6,2
"SCP",0.949,6.44725315193187,0,"Student-t",6,3
"RSA-CP (OT) (Ours)",0.9425,6.16697680333714,0,"Student-t",6,3
"SPI",0.9765,8.62314732184472,0.0399999999999991,"Student-t",6,3
"Synthetic-only",0.9955,13.2230107100997,0,"Student-t",6,3
"SCP",0.9405,8.28504355219445,0,"LogNormal",7,0.25
"RSA-CP (OT) (Ours)",0.921,7.49485086246374,0,"LogNormal",7,0.25
"SPI",0.908,6.93731517151845,0.0399999999999991,"LogNormal",7,0.25
"Synthetic-only",0.726,4.26081934750133,0,"LogNormal",7,0.25
"SCP",0.9405,8.28504355219445,0,"LogNormal",7,0.5
"RSA-CP (OT) (Ours)",0.922,7.58853649824453,0,"LogNormal",7,0.5
"SPI",0.908,6.93731517151845,0.0700000000000003,"LogNormal",7,0.5
"Synthetic-only",0.809,5.08640028892457,0.019999999999996,"LogNormal",7,0.5
"SCP",0.9405,8.28504355219445,0,"LogNormal",7,1
"RSA-CP (OT) (Ours)",0.921,7.46808353795494,0,"LogNormal",7,1
"SPI",0.908,6.93731517151845,0.0399999999999991,"LogNormal",7,1
"Synthetic-only",0.9025,6.74256659617567,0,"LogNormal",7,1
"SCP",0.9405,8.28504355219445,0,"LogNormal",7,1.5
