"Cov","Width","Dataset","Trial","Score_Distribution"
0.9605,8.77031353412162,"LogNormal",45,"SCP"
0.9575,8.47289968181058,"LogNormal",45,"RSA-CP Gamma"
0.957,8.45646785437513,"LogNormal",45,"RSA-CP Normal"
0.957,8.41837512691226,"LogNormal",45,"RSA-CP Beta"
0.9945,12.4546554438132,"Student-t",45,"SCP"
0.983,8.93783400946655,"Student-t",45,"RSA-CP Gamma"
0.9825,8.8732434649049,"Student-t",45,"RSA-CP Normal"
0.984,9.29163372586043,"Student-t",45,"RSA-CP Beta"
0.9585,8.51613420143812,"LogNormal",46,"SCP"
0.937,7.27115476100239,"LogNormal",46,"RSA-CP Gamma"
0.9435,7.40404017682345,"LogNormal",46,"RSA-CP Normal"
0.9425,7.38923134750501,"LogNormal",46,"RSA-CP Beta"
0.9855,9.71437311465492,"Student-t",46,"SCP"
0.974,8.05731564008178,"Student-t",46,"RSA-CP Gamma"
0.9715,7.79537334491534,"Student-t",46,"RSA-CP Normal"
0.9735,8.0403257763852,"Student-t",46,"RSA-CP Beta"
0.984,12.1737664059418,"LogNormal",47,"SCP"
0.9665,9.01482508418176,"LogNormal",47,"RSA-CP Gamma"
0.9665,9.23147842957219,"LogNormal",47,"RSA-CP Normal"
0.97,9.7905231941113,"LogNormal",47,"RSA-CP Beta"
0.9155,5.13706242558594,"Student-t",47,"SCP"
0.914,5.10351104694781,"Student-t",47,"RSA-CP Gamma"
0.9145,5.10914709752125,"Student-t",47,"RSA-CP Normal"
0.915,5.11584305704548,"Student-t",47,"RSA-CP Beta"
0.959,8.65549845035833,"LogNormal",48,"SCP"
0.9515,7.89908518403417,"LogNormal",48,"RSA-CP Gamma"
0.9515,7.89010201758655,"LogNormal",48,"RSA-CP Normal"
0.9515,7.89140489414951,"LogNormal",48,"RSA-CP Beta"
0.996,13.3416273137292,"Student-t",48,"SCP"
0.986,9.95043561660279,"Student-t",48,"RSA-CP Gamma"
0.9885,10.5703392296306,"Student-t",48,"RSA-CP Normal"
0.986,9.98856123391917,"Student-t",48,"RSA-CP Beta"
0.953,7.95006042683084,"LogNormal",49,"SCP"
0.947,7.58747545696136,"LogNormal",49,"RSA-CP Gamma"
0.9465,7.558110380182,"LogNormal",49,"RSA-CP Normal"
0.948,7.6424020943552,"LogNormal",49,"RSA-CP Beta"
0.932,5.70500912160599,"Student-t",49,"SCP"
0.9005,4.6686999623566,"Student-t",49,"RSA-CP Gamma"
0.903,4.74881081474205,"Student-t",49,"RSA-CP Normal"
0.901,4.6863072443502,"Student-t",49,"RSA-CP Beta"
0.9665,9.14941022138395,"LogNormal",50,"SCP"
0.9665,9.01309808032294,"LogNormal",50,"RSA-CP Gamma"
0.9665,9.00623563986542,"LogNormal",50,"RSA-CP Normal"
0.9665,9.05071087759315,"LogNormal",50,"RSA-CP Beta"
0.988,10.4805768124585,"Student-t",50,"SCP"
0.9775,8.30850812482384,"Student-t",50,"RSA-CP Gamma"
0.9795,8.52436445499293,"Student-t",50,"RSA-CP Normal"
0.9815,8.6848760606966,"Student-t",50,"RSA-CP Beta"
0.999,25.3073972205438,"LogNormal",51,"SCP"
0.99,16.5829502840417,"LogNormal",51,"RSA-CP Gamma"
0.989,15.6763386364048,"LogNormal",51,"RSA-CP Normal"
0.988,13.7268380538394,"LogNormal",51,"RSA-CP Beta"
0.9665,7.32028976936499,"Student-t",51,"SCP"
0.9395,5.89341150700213,"Student-t",51,"RSA-CP Gamma"
0.946,6.06634681312668,"Student-t",51,"RSA-CP Normal"
0.9435,5.98787394376805,"Student-t",51,"RSA-CP Beta"
0.9215,6.89282895993902,"LogNormal",52,"SCP"
0.91,6.56183763327635,"LogNormal",52,"RSA-CP Gamma"
0.911,6.57251701708549,"LogNormal",52,"RSA-CP Normal"
0.9115,6.58491799258943,"LogNormal",52,"RSA-CP Beta"
0.968,7.45872037238653,"Student-t",52,"SCP"
0.9615,6.8815927574309,"Student-t",52,"RSA-CP Gamma"
0.962,6.94793698776522,"Student-t",52,"RSA-CP Normal"
0.962,6.98648156360517,"Student-t",52,"RSA-CP Beta"
0.981,11.4005671189001,"LogNormal",53,"SCP"
0.9665,9.19646637948083,"LogNormal",53,"RSA-CP Gamma"
0.9585,8.58230933141305,"LogNormal",53,"RSA-CP Normal"
0.9665,9.12216799824244,"LogNormal",53,"RSA-CP Beta"
0.9455,6.05477519177097,"Student-t",53,"SCP"
0.939,5.88858139598585,"Student-t",53,"RSA-CP Gamma"
0.9385,5.86805916134711,"Student-t",53,"RSA-CP Normal"
0.939,5.88929855095937,"Student-t",53,"RSA-CP Beta"
0.9675,9.53412281414558,"LogNormal",54,"SCP"
0.9535,8.06652356396761,"LogNormal",54,"RSA-CP Gamma"
0.9535,8.07475061738042,"LogNormal",54,"RSA-CP Normal"
0.9535,8.09743250113711,"LogNormal",54,"RSA-CP Beta"
0.9275,5.5896887894684,"Student-t",54,"SCP"
0.912,5.04039961036489,"Student-t",54,"RSA-CP Gamma"
0.912,5.03243724587035,"Student-t",54,"RSA-CP Normal"
0.912,5.04614348717835,"Student-t",54,"RSA-CP Beta"
0.9735,10.0980288755428,"LogNormal",55,"SCP"
0.957,8.40166963810321,"LogNormal",55,"RSA-CP Gamma"
0.955,8.22384142671627,"LogNormal",55,"RSA-CP Normal"
0.957,8.43657865733847,"LogNormal",55,"RSA-CP Beta"
0.912,4.97389593873222,"Student-t",55,"SCP"
0.905,4.81531201948358,"Student-t",55,"RSA-CP Gamma"
