"Method","Cov","Width","Time","Dataset","Trial","N","N_cal"
"SPI",0.994,11.9765347822936,0.0300000000000011,"Student-t",33,3000,20
"Synthetic-only",0.994,11.9693204350645,0,"Student-t",33,3000,20
"SCP",0.9765,11.5696264615144,0,"LogNormal",34,3000,20
"RSA-CP (OT) (Ours)",0.939,8.21028258440098,0,"LogNormal",34,3000,20
"SPI",0.9875,13.6215513079105,0.0300000000000011,"LogNormal",34,3000,20
"Synthetic-only",0.987,13.4425789838854,0,"LogNormal",34,3000,20
"SCP",0.944,5.60782083543286,0,"Student-t",34,3000,20
"RSA-CP (OT) (Ours)",0.929,5.13577883117772,0,"Student-t",34,3000,20
"SPI",0.9915,11.2443482318516,0.0300000000000011,"Student-t",34,3000,20
"Synthetic-only",0.9915,11.1486273299835,0,"Student-t",34,3000,20
"SCP",0.969,10.4310493980029,0,"LogNormal",35,3000,20
"RSA-CP (OT) (Ours)",0.9305,8.01222873914125,0.00999999999999091,"LogNormal",35,3000,20
"SPI",0.987,13.4660423138272,0.0200000000000102,"LogNormal",35,3000,20
"Synthetic-only",0.984,12.8101832175058,0,"LogNormal",35,3000,20
"SCP",0.9205,4.85646301224125,0,"Student-t",35,3000,20
"RSA-CP (OT) (Ours)",0.906,4.58518600603143,0,"Student-t",35,3000,20
"SPI",0.9895,10.4193913044579,0.0300000000000011,"Student-t",35,3000,20
"Synthetic-only",0.9895,10.1724647716083,0,"Student-t",35,3000,20
"SCP",0.963,9.67668616182056,0,"LogNormal",36,3000,20
"RSA-CP (OT) (Ours)",0.953,9.06477251652206,0.0100000000000051,"LogNormal",36,3000,20
"SPI",0.967,10.1755525173342,0.019999999999996,"LogNormal",36,3000,20
"Synthetic-only",0.966,10.0855627522301,0,"LogNormal",36,3000,20
"SCP",0.8665,3.90383819859155,0,"Student-t",36,3000,20
"RSA-CP (OT) (Ours)",0.8375,3.53689674665479,0.00999999999999091,"Student-t",36,3000,20
"SPI",0.9905,10.7257457896826,0.0200000000000102,"Student-t",36,3000,20
"Synthetic-only",0.9905,10.7032251253636,0,"Student-t",36,3000,20
"SCP",0.9975,19.5142958677575,0,"LogNormal",37,3000,20
"RSA-CP (OT) (Ours)",0.9905,15.0852876842548,0,"LogNormal",37,3000,20
"SPI",0.989,13.9607647916161,0.0400000000000063,"LogNormal",37,3000,20
"Synthetic-only",0.988,13.6991596781178,0.0200000000000102,"LogNormal",37,3000,20
"SCP",0.979,7.79210281875003,0,"Student-t",37,3000,20
"RSA-CP (OT) (Ours)",0.949,5.75345268081287,0.0100000000000051,"Student-t",37,3000,20
"SPI",0.992,11.4807387730736,0.019999999999996,"Student-t",37,3000,20
"Synthetic-only",0.992,11.4366434823634,0,"Student-t",37,3000,20
"SCP",0.962,9.60814546799518,0,"LogNormal",38,3000,20
"RSA-CP (OT) (Ours)",0.9545,9.15481199158976,0,"LogNormal",38,3000,20
"SPI",0.96,9.45703528704237,0.0299999999999869,"LogNormal",38,3000,20
"Synthetic-only",0.935,8.11141695063679,0,"LogNormal",38,3000,20
"SCP",0.971,7.12334018480698,0,"Student-t",38,3000,20
"RSA-CP (OT) (Ours)",0.941,5.49774367277674,0,"Student-t",38,3000,20
"SPI",0.9945,12.1704154548998,0.0400000000000063,"Student-t",38,3000,20
"Synthetic-only",0.994,12.0738935107973,0.0200000000000102,"Student-t",38,3000,20
"SCP",0.9735,11.036477042415,0,"LogNormal",39,3000,20
"RSA-CP (OT) (Ours)",0.913,7.38357402606379,0.0100000000000051,"LogNormal",39,3000,20
"SPI",0.9505,8.84062026318591,0.0300000000000011,"LogNormal",39,3000,20
"Synthetic-only",0.9505,8.78000713209319,0,"LogNormal",39,3000,20
"SCP",0.9875,9.76401280054548,0,"Student-t",39,3000,20
"RSA-CP (OT) (Ours)",0.9695,7.05096059568995,0,"Student-t",39,3000,20
"SPI",0.9915,11.0376618852337,0.0299999999999869,"Student-t",39,3000,20
"Synthetic-only",0.9915,10.9562216798176,0,"Student-t",39,3000,20
"SCP",0.975,11.224242812688,0,"LogNormal",40,3000,20
"RSA-CP (OT) (Ours)",0.9665,10.1241480910702,0.0200000000000102,"LogNormal",40,3000,20
"SPI",0.963,9.83134770738008,0.00999999999999091,"LogNormal",40,3000,20
"Synthetic-only",0.9595,9.33422915720881,0,"LogNormal",40,3000,20
"SCP",0.983,8.60608987393709,0,"Student-t",40,3000,20
"RSA-CP (OT) (Ours)",0.9545,6.05048645711232,0.0200000000000102,"Student-t",40,3000,20
"SPI",0.9895,10.5352330832014,0.019999999999996,"Student-t",40,3000,20
"Synthetic-only",0.9895,10.4813566871701,0,"Student-t",40,3000,20
"SCP",0.963,9.72717910756911,0,"LogNormal",41,3000,20
"RSA-CP (OT) (Ours)",0.8935,6.81081094290372,0,"LogNormal",41,3000,20
"SPI",0.9725,10.882495277219,0.0300000000000011,"LogNormal",41,3000,20
"Synthetic-only",0.97,10.6372931692804,0,"LogNormal",41,3000,20
"SCP",0.9915,10.9206958152814,0,"Student-t",41,3000,20
"RSA-CP (OT) (Ours)",0.9835,8.78110991223741,0,"Student-t",41,3000,20
