"Method","Cov","Width","Time","Dataset","Trial","N","N_cal"
"SCP",0.9965,13.0047485009793,0,"Student-t",44,3000,20
"RSA-CP (OT) (Ours)",0.9775,7.68778097031887,0,"Student-t",44,3000,20
"SPI",0.9945,12.4586856247927,0.0100000000000051,"Student-t",44,3000,20
"Synthetic-only",0.9945,12.4447649308807,0.019999999999996,"Student-t",44,3000,20
"SCP",0.966,10.0913984320065,0,"LogNormal",45,3000,20
"RSA-CP (OT) (Ours)",0.9285,7.88680739399681,0,"LogNormal",45,3000,20
"SPI",0.989,13.7941189344859,0.0300000000000011,"LogNormal",45,3000,20
"Synthetic-only",0.9885,13.7326229148009,0.00999999999999091,"LogNormal",45,3000,20
"SCP",0.982,8.37359232447282,0,"Student-t",45,3000,20
"RSA-CP (OT) (Ours)",0.957,6.14999852991985,0.019999999999996,"Student-t",45,3000,20
"SPI",0.9915,11.4083701093989,0.0100000000000051,"Student-t",45,3000,20
"Synthetic-only",0.9915,11.2655955723525,0,"Student-t",45,3000,20
"SCP",0.8885,6.69604739262883,0,"LogNormal",46,3000,20
"RSA-CP (OT) (Ours)",0.8215,5.46608548272069,0,"LogNormal",46,3000,20
"SPI",0.9895,14.3750036342875,0.0300000000000011,"LogNormal",46,3000,20
"Synthetic-only",0.989,14.1134090039937,0,"LogNormal",46,3000,20
"SCP",0.971,7.13496291763093,0,"Student-t",46,3000,20
"RSA-CP (OT) (Ours)",0.9345,5.27142595439627,0,"Student-t",46,3000,20
"SPI",0.995,12.6986999330571,0.0300000000000011,"Student-t",46,3000,20
"Synthetic-only",0.995,12.6889397259512,0.00999999999999091,"Student-t",46,3000,20
"SCP",0.992,16.0923549400849,0,"LogNormal",47,3000,20
"RSA-CP (OT) (Ours)",0.939,8.21483732701137,0,"LogNormal",47,3000,20
"SPI",0.9845,12.8903718131195,0.0400000000000063,"LogNormal",47,3000,20
"Synthetic-only",0.9845,12.8480659879239,0.0200000000000102,"LogNormal",47,3000,20
"SCP",0.9695,7.03693076817329,0,"Student-t",47,3000,20
"RSA-CP (OT) (Ours)",0.9425,5.56167092478577,0.0100000000000051,"Student-t",47,3000,20
"SPI",0.9945,12.1233523961274,0.019999999999996,"Student-t",47,3000,20
"Synthetic-only",0.994,11.9742899996319,0,"Student-t",47,3000,20
"SCP",0.9425,8.3952709099697,0,"LogNormal",48,3000,20
"RSA-CP (OT) (Ours)",0.926,7.80209288241393,0,"LogNormal",48,3000,20
"SPI",0.954,9.09314726196377,0.0299999999999869,"LogNormal",48,3000,20
"Synthetic-only",0.9535,9.07756795933681,0,"LogNormal",48,3000,20
"SCP",0.9175,4.75366374738267,0,"Student-t",48,3000,20
"RSA-CP (OT) (Ours)",0.8825,4.19317973645158,0,"Student-t",48,3000,20
"SPI",0.992,11.5888055856249,0.0400000000000063,"Student-t",48,3000,20
"Synthetic-only",0.992,11.5243419549637,0,"Student-t",48,3000,20
"SCP",0.9725,10.9179273813134,0.0100000000000051,"LogNormal",49,3000,20
"RSA-CP (OT) (Ours)",0.968,10.2980375316991,0,"LogNormal",49,3000,20
"SPI",0.9795,12.0668598191468,0.0300000000000011,"LogNormal",49,3000,20
"Synthetic-only",0.969,10.3825925689527,0,"LogNormal",49,3000,20
"SCP",0.9345,5.26696071686414,0,"Student-t",49,3000,20
"RSA-CP (OT) (Ours)",0.928,5.10987426059252,0,"Student-t",49,3000,20
"SPI",0.9895,10.4765367933835,0.0299999999999869,"Student-t",49,3000,20
"Synthetic-only",0.9895,10.4276194580448,0,"Student-t",49,3000,20
"SCP",0.909,7.25724786223534,0,"LogNormal",50,3000,20
"RSA-CP (OT) (Ours)",0.8805,6.44610830799122,0.0200000000000102,"LogNormal",50,3000,20
"SPI",0.9485,8.63922454585373,0.00999999999999091,"LogNormal",50,3000,20
"Synthetic-only",0.9485,8.63739779676274,0,"LogNormal",50,3000,20
"SCP",0.9875,9.72020151013785,0,"Student-t",50,3000,20
"RSA-CP (OT) (Ours)",0.982,8.15347193039686,0,"Student-t",50,3000,20
"SPI",0.994,11.9734788663629,0.0300000000000011,"Student-t",50,3000,20
"Synthetic-only",0.9935,11.8556852205801,0,"Student-t",50,3000,20
"SCP",0.972,10.7962540166166,0,"LogNormal",51,3000,20
"RSA-CP (OT) (Ours)",0.9505,8.77083462900378,0.019999999999996,"LogNormal",51,3000,20
"SPI",0.965,9.89956156314317,0.0100000000000051,"LogNormal",51,3000,20
"Synthetic-only",0.9525,8.97076980823758,0,"LogNormal",51,3000,20
"SCP",0.808,3.23089863808982,0,"Student-t",51,3000,20
"RSA-CP (OT) (Ours)",0.804,3.19636260045159,0.019999999999996,"Student-t",51,3000,20
"SPI",0.9945,12.1587623256217,0.00999999999999091,"Student-t",51,3000,20
"Synthetic-only",0.9945,12.1210657438663,0.0200000000000102,"Student-t",51,3000,20
"SCP",0.9565,9.22950352096114,0,"LogNormal",52,3000,20
"RSA-CP (OT) (Ours)",0.9065,7.16007608142533,0,"LogNormal",52,3000,20
"SPI",0.9505,8.8085746407685,0.0300000000000011,"LogNormal",52,3000,20
"Synthetic-only",0.9495,8.70099991110859,0.019999999999996,"LogNormal",52,3000,20
"SCP",0.957,6.20078633523619,0,"Student-t",52,3000,20
"RSA-CP (OT) (Ours)",0.9535,6.01111785745603,0.019999999999996,"Student-t",52,3000,20
"SPI",0.9925,11.6320327436253,0.0699999999999932,"Student-t",52,3000,20
"Synthetic-only",0.992,11.5854607036619,0,"Student-t",52,3000,20
"SCP",0.9525,8.98131164880528,0,"LogNormal",53,3000,20
"RSA-CP (OT) (Ours)",0.9505,8.78535265208598,0.0200000000000102,"LogNormal",53,3000,20
"SPI",0.987,13.4733914610576,0.019999999999996,"LogNormal",53,3000,20
"Synthetic-only",0.987,13.4618325349426,0,"LogNormal",53,3000,20
"SCP",0.982,8.33604309494744,0,"Student-t",53,3000,20
"RSA-CP (OT) (Ours)",0.9595,6.3785726808027,0.0100000000000051,"Student-t",53,3000,20
"SPI",0.9915,11.0790737143817,0.019999999999996,"Student-t",53,3000,20
"Synthetic-only",0.9915,11.0035724681814,0,"Student-t",53,3000,20
"SCP",0.992,16.2237934907551,0,"LogNormal",54,3000,20
"RSA-CP (OT) (Ours)",0.982,12.452853779995,0,"LogNormal",54,3000,20
"SPI",0.976,11.5389809820841,0.0299999999999869,"LogNormal",54,3000,20
"Synthetic-only",0.96,9.39565621310823,0.019999999999996,"LogNormal",54,3000,20
"SCP",0.9845,8.85706650268605,0,"Student-t",54,3000,20
"RSA-CP (OT) (Ours)",0.9595,6.4034494222163,0.0200000000000102,"Student-t",54,3000,20
"SPI",0.997,13.4597687589583,0.019999999999996,"Student-t",54,3000,20
"Synthetic-only",0.997,13.4113609053689,0,"Student-t",54,3000,20
"SCP",0.9865,13.2625568910574,0,"LogNormal",55,3000,20
"RSA-CP (OT) (Ours)",0.9665,10.1053442951237,0,"LogNormal",55,3000,20
"SPI",0.985,13.136876301122,0.0300000000000011,"LogNormal",55,3000,20
"Synthetic-only",0.979,11.9876065975061,0,"LogNormal",55,3000,20
"SCP",0.9695,7.02443891973007,0,"Student-t",55,3000,20
"RSA-CP (OT) (Ours)",0.9675,6.86039409310374,0,"Student-t",55,3000,20
"SPI",0.993,11.7934191163302,0.0299999999999869,"Student-t",55,3000,20
"Synthetic-only",0.9925,11.6614607375207,0,"Student-t",55,3000,20
"SCP",0.8805,6.44986259381373,0,"LogNormal",56,3000,20
"RSA-CP (OT) (Ours)",0.8475,5.85367679388778,0.0200000000000102,"LogNormal",56,3000,20
"SPI",0.954,9.1111235424733,0.00999999999999091,"LogNormal",56,3000,20
"Synthetic-only",0.953,9.00734001829412,0,"LogNormal",56,3000,20
"SCP",0.9875,9.75483600768085,0,"Student-t",56,3000,20
"RSA-CP (OT) (Ours)",0.987,9.18703484099139,0.0200000000000102,"Student-t",56,3000,20
"SPI",0.993,11.791604138493,0.019999999999996,"Student-t",56,3000,20
"Synthetic-only",0.993,11.7450567197589,0,"Student-t",56,3000,20
"SCP",0.969,10.3534567651053,0,"LogNormal",57,3000,20
"RSA-CP (OT) (Ours)",0.9625,9.67300889677409,0,"LogNormal",57,3000,20
"SPI",0.9775,11.7446038129629,0.0300000000000011,"LogNormal",57,3000,20
"Synthetic-only",0.975,11.2737352692592,0,"LogNormal",57,3000,20
"SCP",0.949,5.76344338262389,0,"Student-t",57,3000,20
"RSA-CP (OT) (Ours)",0.9335,5.22740680727043,0,"Student-t",57,3000,20
"SPI",0.9945,12.5143506215506,0.0299999999999869,"Student-t",57,3000,20
"Synthetic-only",0.9945,12.487057063015,0,"Student-t",57,3000,20
"SCP",0.9815,12.1873888192993,0,"LogNormal",58,3000,20
"RSA-CP (OT) (Ours)",0.9525,8.93301014441506,0.0200000000000102,"LogNormal",58,3000,20
"SPI",0.9875,13.6067760402291,0.0300000000000011,"LogNormal",58,3000,20
"Synthetic-only",0.9875,13.5607325709566,0,"LogNormal",58,3000,20
"SCP",0.9745,7.46850480133151,0,"Student-t",58,3000,20
"RSA-CP (OT) (Ours)",0.957,6.19341133405199,0,"Student-t",58,3000,20
"SPI",0.9925,11.6441723023275,0.0300000000000011,"Student-t",58,3000,20
"Synthetic-only",0.992,11.5827128341836,0,"Student-t",58,3000,20
"SCP",0.976,11.5161696876824,0,"LogNormal",59,3000,20
"RSA-CP (OT) (Ours)",0.9305,8.01222873914125,0,"LogNormal",59,3000,20
"SPI",0.9555,9.18159736460648,0.0299999999999869,"LogNormal",59,3000,20
"Synthetic-only",0.953,9.02194979247761,0.019999999999996,"LogNormal",59,3000,20
"SCP",0.999,18.3999769804781,0,"Student-t",59,3000,20
"RSA-CP (OT) (Ours)",0.983,8.66201951427855,0.0200000000000102,"Student-t",59,3000,20
"SPI",0.994,11.9764591315402,0.00999999999999091,"Student-t",59,3000,20
"Synthetic-only",0.994,11.9595356045884,0,"Student-t",59,3000,20
"SCP",0.962,9.6109277701078,0,"LogNormal",60,3000,20
"RSA-CP (OT) (Ours)",0.9555,9.19099437171055,0,"LogNormal",60,3000,20
"SPI",0.9605,9.51687636807491,0.0300000000000011,"LogNormal",60,3000,20
"Synthetic-only",0.96,9.45748285908609,0,"LogNormal",60,3000,20
"SCP",0.9455,5.64685962337795,0,"Student-t",60,3000,20
"RSA-CP (OT) (Ours)",0.9195,4.81479265422911,0,"Student-t",60,3000,20
"SPI",0.994,12.0071835839402,0.0300000000000011,"Student-t",60,3000,20
"Synthetic-only",0.9935,11.9069903151461,0,"Student-t",60,3000,20
"SCP",0.991,15.4308940438654,0,"LogNormal",61,3000,20
"RSA-CP (OT) (Ours)",0.9725,10.937549119428,0.019999999999996,"LogNormal",61,3000,20
"SPI",0.9665,10.1095617594003,0.00999999999999091,"LogNormal",61,3000,20
"Synthetic-only",0.9525,8.91972016576499,0,"LogNormal",61,3000,20
"SCP",0.996,12.8571799012387,0,"Student-t",61,3000,20
"RSA-CP (OT) (Ours)",0.982,8.23830040138287,0.0200000000000102,"Student-t",61,3000,20
"SPI",0.996,12.9523309487787,0.019999999999996,"Student-t",61,3000,20
"Synthetic-only",0.996,12.9271787822237,0,"Student-t",61,3000,20
"SCP",0.94,8.22901415412187,0,"LogNormal",62,3000,20
"RSA-CP (OT) (Ours)",0.908,7.18326213096372,0,"LogNormal",62,3000,20
"SPI",0.9415,8.32531514339087,0.0300000000000011,"LogNormal",62,3000,20
"Synthetic-only",0.9415,8.30720588333365,0,"LogNormal",62,3000,20
"SCP",0.954,6.02439214386018,0,"Student-t",62,3000,20
"RSA-CP (OT) (Ours)",0.949,5.764636703233,0,"Student-t",62,3000,20
"SPI",0.9945,12.6285393554781,0.0299999999999869,"Student-t",62,3000,20
"Synthetic-only",0.9945,12.5881083145723,0,"Student-t",62,3000,20
"SCP",0.881,6.48730866176606,0,"LogNormal",63,3000,20
"RSA-CP (OT) (Ours)",0.863,6.09172910147929,0,"LogNormal",63,3000,20
"SPI",0.985,13.0684124770375,0.0300000000000011,"LogNormal",63,3000,20
"Synthetic-only",0.985,13.0628451425349,0,"LogNormal",63,3000,20
"SCP",0.9675,6.76226778527792,0,"Student-t",63,3000,20
"RSA-CP (OT) (Ours)",0.949,5.76449398030276,0,"Student-t",63,3000,20
"SPI",0.99,10.6692547165027,0.0300000000000011,"Student-t",63,3000,20
"Synthetic-only",0.99,10.6449396625165,0,"Student-t",63,3000,20
"SCP",0.9695,10.5233621227055,0,"LogNormal",64,3000,20
"RSA-CP (OT) (Ours)",0.9315,8.02712220142844,0.019999999999996,"LogNormal",64,3000,20
"SPI",0.98,12.1255582267527,0.0100000000000051,"LogNormal",64,3000,20
"Synthetic-only",0.9795,12.077950896657,0,"LogNormal",64,3000,20
"SCP",0.965,6.6665927151454,0,"Student-t",64,3000,20
"RSA-CP (OT) (Ours)",0.9275,5.03964358585253,0.019999999999996,"Student-t",64,3000,20
"SPI",0.9935,11.8548337948644,0.00999999999999091,"Student-t",64,3000,20
"Synthetic-only",0.993,11.7879158480901,0,"Student-t",64,3000,20
"SCP",0.999,24.4816235287354,0,"LogNormal",65,3000,20
"RSA-CP (OT) (Ours)",0.9785,11.8741111833519,0,"LogNormal",65,3000,20
"SPI",0.9585,9.31660282407318,0.0300000000000011,"LogNormal",65,3000,20
"Synthetic-only",0.9555,9.18627267545343,0,"LogNormal",65,3000,20
"SCP",0.87,3.98393328101451,0,"Student-t",65,3000,20
"RSA-CP (OT) (Ours)",0.754,2.78188020022127,0,"Student-t",65,3000,20
"SPI",0.9915,11.0276841346234,0.0799999999999983,"Student-t",65,3000,20
"Synthetic-only",0.9915,10.9265623284816,0,"Student-t",65,3000,20
"SCP",0.9215,7.66236102126694,0,"LogNormal",66,3000,20
"RSA-CP (OT) (Ours)",0.879,6.39048055335081,0,"LogNormal",66,3000,20
"SPI",0.9405,8.2561651138275,0.0400000000000063,"LogNormal",66,3000,20
"Synthetic-only",0.9405,8.25447281707589,0,"LogNormal",66,3000,20
"SCP",0.9915,11.2069123773121,0,"Student-t",66,3000,20
"RSA-CP (OT) (Ours)",0.958,6.23488862996495,0,"Student-t",66,3000,20
"SPI",0.9905,10.6814909121059,0.0300000000000011,"Student-t",66,3000,20
"Synthetic-only",0.99,10.6548719136407,0,"Student-t",66,3000,20
"SCP",0.9185,7.56859210493189,0,"LogNormal",67,3000,20
"RSA-CP (OT) (Ours)",0.9115,7.33884388921084,0.0100000000000051,"LogNormal",67,3000,20
"SPI",0.96,9.45258262496639,0.019999999999996,"LogNormal",67,3000,20
"Synthetic-only",0.9525,8.89477610301816,0,"LogNormal",67,3000,20
"SCP",0.9945,12.1645298446377,0,"Student-t",67,3000,20
"RSA-CP (OT) (Ours)",0.982,8.35184985544671,0.00999999999999091,"Student-t",67,3000,20
"SPI",0.9915,11.3871130379418,0.0200000000000102,"Student-t",67,3000,20
"Synthetic-only",0.9915,11.3783840512239,0,"Student-t",67,3000,20
"SCP",0.9975,18.8204156501894,0,"LogNormal",68,3000,20
"RSA-CP (OT) (Ours)",0.953,9.03343446819551,0,"LogNormal",68,3000,20
"SPI",0.985,13.1840913258445,0.0300000000000011,"LogNormal",68,3000,20
"Synthetic-only",0.985,13.1446115826164,0,"LogNormal",68,3000,20
"SCP",0.997,13.1619944037585,0,"Student-t",68,3000,20
"RSA-CP (OT) (Ours)",0.99,10.5708386348835,0,"Student-t",68,3000,20
"SPI",0.994,12.0618810347555,0.0300000000000011,"Student-t",68,3000,20
"Synthetic-only",0.994,12.0307037828926,0,"Student-t",68,3000,20
"SCP",0.9945,17.1678069826865,0,"LogNormal",69,3000,20
"RSA-CP (OT) (Ours)",0.9775,11.6865840544983,0.00999999999999091,"LogNormal",69,3000,20
"SPI",0.9685,10.3051234524197,0.0200000000000102,"LogNormal",69,3000,20
"Synthetic-only",0.927,7.82398615919353,0,"LogNormal",69,3000,20
"SCP",0.9995,20.0151689723916,0,"Student-t",69,3000,20
"RSA-CP (OT) (Ours)",0.9895,10.04137661085,0,"Student-t",69,3000,20
"SPI",0.9945,12.5725779049564,0.0200000000000102,"Student-t",69,3000,20
"Synthetic-only",0.9945,12.5662058198138,0,"Student-t",69,3000,20
"SCP",0.948,8.58417462225478,0,"LogNormal",70,3000,20
"RSA-CP (OT) (Ours)",0.84,5.73337960940735,0,"LogNormal",70,3000,20
"SPI",0.9775,11.7470442928335,0.0300000000000011,"LogNormal",70,3000,20
"Synthetic-only",0.977,11.6235624724853,0.0100000000000051,"LogNormal",70,3000,20
"SCP",0.987,9.32701849402667,0,"Student-t",70,3000,20
"RSA-CP (OT) (Ours)",0.9135,4.70779726191291,0.0100000000000051,"Student-t",70,3000,20
"SPI",0.9905,10.740425600322,0.019999999999996,"Student-t",70,3000,20
"Synthetic-only",0.9905,10.7128078860812,0,"Student-t",70,3000,20
"SCP",0.9515,8.8564101307779,0,"LogNormal",71,3000,20
"RSA-CP (OT) (Ours)",0.9135,7.41392905741821,0,"LogNormal",71,3000,20
"SPI",0.9495,8.7432318590521,0.0400000000000063,"LogNormal",71,3000,20
"Synthetic-only",0.948,8.61314498304614,0,"LogNormal",71,3000,20
"SCP",0.963,6.51794235331469,0,"Student-t",71,3000,20
"RSA-CP (OT) (Ours)",0.9475,5.67075579275873,0,"Student-t",71,3000,20
"SPI",0.9945,12.103640356469,0.0300000000000011,"Student-t",71,3000,20
"Synthetic-only",0.994,12.0823101047632,0,"Student-t",71,3000,20
"SCP",0.8785,6.37669209009365,0,"LogNormal",72,3000,20
"RSA-CP (OT) (Ours)",0.8485,5.88822830133057,0.0100000000000051,"LogNormal",72,3000,20
"SPI",0.9525,8.90138287098218,0.019999999999996,"LogNormal",72,3000,20
"Synthetic-only",0.951,8.85342794800946,0,"LogNormal",72,3000,20
"SCP",0.974,7.44951948829834,0,"Student-t",72,3000,20
"RSA-CP (OT) (Ours)",0.958,6.26236247125538,0.00999999999999091,"Student-t",72,3000,20
"SPI",0.993,11.8005243835401,0.0300000000000011,"Student-t",72,3000,20
"Synthetic-only",0.992,11.6140654142136,0,"Student-t",72,3000,20
"SCP",0.881,6.47721154799779,0,"LogNormal",73,3000,20
"RSA-CP (OT) (Ours)",0.879,6.39109516394002,0.0200000000000102,"LogNormal",73,3000,20
"SPI",0.979,12.0305429844447,0.019999999999996,"LogNormal",73,3000,20
"Synthetic-only",0.966,10.1002311716248,0,"LogNormal",73,3000,20
"SCP",0.9605,6.42767535448513,0,"Student-t",73,3000,20
"RSA-CP (OT) (Ours)",0.928,5.05951559286226,0.0100000000000051,"Student-t",73,3000,20
"SPI",0.9945,12.3734458634604,0.0300000000000011,"Student-t",73,3000,20
"Synthetic-only",0.9945,12.3010189055227,0,"Student-t",73,3000,20
"SCP",0.8925,6.78504080440976,0,"LogNormal",74,3000,20
"RSA-CP (OT) (Ours)",0.8545,5.99293709551305,0,"LogNormal",74,3000,20
"SPI",0.954,9.12899186499549,0.0299999999999869,"LogNormal",74,3000,20
"Synthetic-only",0.954,9.10397387719706,0.019999999999996,"LogNormal",74,3000,20
"SCP",0.982,8.28014309257739,0,"Student-t",74,3000,20
"RSA-CP (OT) (Ours)",0.954,6.02194439202373,0.0200000000000102,"Student-t",74,3000,20
"SPI",0.9945,12.1933201206565,0.019999999999996,"Student-t",74,3000,20
"Synthetic-only",0.9945,12.1002083709447,0,"Student-t",74,3000,20
"SCP",0.905,7.088175955066,0,"LogNormal",75,3000,20
"RSA-CP (OT) (Ours)",0.898,6.90929206912435,0,"LogNormal",75,3000,20
"SPI",0.9505,8.81957474700169,0.0300000000000011,"LogNormal",75,3000,20
"Synthetic-only",0.9485,8.62041022373121,0,"LogNormal",75,3000,20
"SCP",0.966,6.71046639974392,0,"Student-t",75,3000,20
"RSA-CP (OT) (Ours)",0.9595,6.36745205067163,0,"Student-t",75,3000,20
"SPI",0.9915,11.224678333865,0.0299999999999869,"Student-t",75,3000,20
"Synthetic-only",0.9915,11.083688331778,0,"Student-t",75,3000,20
"SCP",0.9745,11.1913928288453,0,"LogNormal",76,3000,20
"RSA-CP (OT) (Ours)",0.9595,9.33964033499623,0.0200000000000102,"LogNormal",76,3000,20
"SPI",0.9525,8.96533502614222,0.00999999999999091,"LogNormal",76,3000,20
"Synthetic-only",0.946,8.53891591189536,0,"LogNormal",76,3000,20
"SCP",0.971,7.10247015921341,0,"Student-t",76,3000,20
"RSA-CP (OT) (Ours)",0.941,5.51743783914124,0.0200000000000102,"Student-t",76,3000,20
"SPI",0.9895,10.5086190434621,0.0300000000000011,"Student-t",76,3000,20
"Synthetic-only",0.9895,10.4716568055008,0,"Student-t",76,3000,20
"SCP",0.999,27.0847100427281,0,"LogNormal",77,3000,20
"RSA-CP (OT) (Ours)",0.958,9.30378786443721,0,"LogNormal",77,3000,20
"SPI",0.9485,8.62726173856484,0.0300000000000011,"LogNormal",77,3000,20
"Synthetic-only",0.946,8.54808439142924,0,"LogNormal",77,3000,20
"SCP",0.9495,5.7868438893985,0,"Student-t",77,3000,20
"RSA-CP (OT) (Ours)",0.906,4.5555544666073,0,"Student-t",77,3000,20
"SPI",0.9935,11.8853292628013,0.0299999999999869,"Student-t",77,3000,20
"Synthetic-only",0.9935,11.8298374505967,0.019999999999996,"Student-t",77,3000,20
"SCP",0.9375,8.16294269893699,0,"LogNormal",78,3000,20
"RSA-CP (OT) (Ours)",0.923,7.72043527223686,0,"LogNormal",78,3000,20
"SPI",0.976,11.5015444133969,0.0300000000000011,"LogNormal",78,3000,20
"Synthetic-only",0.976,11.4856540741025,0.019999999999996,"LogNormal",78,3000,20
"SCP",0.9915,10.952687589394,0,"Student-t",78,3000,20
"RSA-CP (OT) (Ours)",0.99,10.6601951609467,0.019999999999996,"Student-t",78,3000,20
"SPI",0.996,12.9323543025623,0.0100000000000051,"Student-t",78,3000,20
"Synthetic-only",0.996,12.9008202824999,0,"Student-t",78,3000,20
"SCP",0.974,11.1505263509275,0,"LogNormal",79,3000,20
"RSA-CP (OT) (Ours)",0.942,8.36700252579617,0,"LogNormal",79,3000,20
"SPI",0.9505,8.79984320148569,0.0300000000000011,"LogNormal",79,3000,20
"Synthetic-only",0.9495,8.74534114915332,0,"LogNormal",79,3000,20
"SCP",0.9895,10.3847636610456,0,"Student-t",79,3000,20
"RSA-CP (OT) (Ours)",0.9885,9.90945813448318,0,"Student-t",79,3000,20
"SPI",0.991,10.8767441015154,0.0300000000000011,"Student-t",79,3000,20
"Synthetic-only",0.9905,10.7286201697254,0,"Student-t",79,3000,20
"SCP",0.996,17.8637378248611,0,"LogNormal",80,3000,20
"RSA-CP (OT) (Ours)",0.985,13.1587536673548,0.019999999999996,"LogNormal",80,3000,20
"SPI",0.976,11.5328858904795,0.0100000000000051,"LogNormal",80,3000,20
"Synthetic-only",0.9415,8.300804789531,0,"LogNormal",80,3000,20
"SCP",0.9855,9.00165771129094,0,"Student-t",80,3000,20
"RSA-CP (OT) (Ours)",0.981,7.97766083541485,0.019999999999996,"Student-t",80,3000,20
"SPI",0.992,11.4714510160036,0.0100000000000051,"Student-t",80,3000,20
"Synthetic-only",0.9915,11.3682706011615,0,"Student-t",80,3000,20
"SCP",0.7575,4.66814234026184,0,"LogNormal",81,3000,20
"RSA-CP (OT) (Ours)",0.7145,4.23895752836999,0,"LogNormal",81,3000,20
"SPI",0.9795,12.0873305570468,0.0300000000000011,"LogNormal",81,3000,20
"Synthetic-only",0.979,12.0245625400549,0.00999999999999091,"LogNormal",81,3000,20
"SCP",0.9995,21.6455194024354,0,"Student-t",81,3000,20
"RSA-CP (OT) (Ours)",0.9865,9.12369228201724,0.019999999999996,"Student-t",81,3000,20
"SPI",0.9915,11.1091637413674,0.0100000000000051,"Student-t",81,3000,20
"Synthetic-only",0.9915,10.9312349175129,0,"Student-t",81,3000,20
"SCP",0.9665,10.1029698823604,0,"LogNormal",82,3000,20
"RSA-CP (OT) (Ours)",0.9185,7.51821241570684,0,"LogNormal",82,3000,20
"SPI",0.983,12.6311377950005,0.0300000000000011,"LogNormal",82,3000,20
"Synthetic-only",0.9815,12.2192951381929,0,"LogNormal",82,3000,20
"SCP",0.987,9.26956984638402,0,"Student-t",82,3000,20
"RSA-CP (OT) (Ours)",0.9845,8.90646151339778,0,"Student-t",82,3000,20
"SPI",0.992,11.5158507354752,0.0300000000000011,"Student-t",82,3000,20
"Synthetic-only",0.992,11.4976424084234,0,"Student-t",82,3000,20
"SCP",0.991,15.5116299803365,0,"LogNormal",83,3000,20
"RSA-CP (OT) (Ours)",0.9845,12.9688539149841,0.00999999999999091,"LogNormal",83,3000,20
"SPI",0.979,11.9948326458722,0.0400000000000063,"LogNormal",83,3000,20
"Synthetic-only",0.966,10.0454983007781,0,"LogNormal",83,3000,20
"SCP",0.94,5.46940848934411,0,"Student-t",83,3000,20
"RSA-CP (OT) (Ours)",0.939,5.39073945215197,0,"Student-t",83,3000,20
"SPI",0.9915,11.3870860360061,0.0300000000000011,"Student-t",83,3000,20
"Synthetic-only",0.9915,11.2773039013468,0,"Student-t",83,3000,20
"SCP",0.948,8.58300733342857,0,"LogNormal",84,3000,20
"RSA-CP (OT) (Ours)",0.856,6.00917155435593,0,"LogNormal",84,3000,20
"SPI",0.9525,8.97413502882089,0.0300000000000011,"LogNormal",84,3000,20
